;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
76;IOS разработчик (Objective-C);Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 7 миллионов установок в App Store. Мы хотим найти человека, который: - имеет знания и опыт разработки на Objective-C; - знает ООП и шаблоны проектирования, понимает принципы SOLID; - знает iOS SDK (UIKit, Foundation, CoreGraphics, CoreLocation и др.); - хорошо понимает клиент-серверные модели взаимодействия приложений; - знает основные сетевые технологии; - понимает Multithreading/GCD/NSOperationQueue; - отлично знает Interface Builder, Storyboard, AutoLayout; - имеет опыт работы с системами контроля версий Git.   Будем большим плюсом, если: - есть опыт коммерческой разработки на Objective-C (Swift будем плюсом) для iOS; - есть опубликованные IOS-приложения (AppStore).   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - имеет знания и опыт разработки на Objective-C. - знает ООП и шаблоны проектирования, понимает принципы...;хорошо понимает клиент-серверные модели взаимодействия приложений.;
80;Android разработчик;Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.   Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 12 миллионов установок в Google Play.   Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID; - имеет опыт разработки на Java или Kotlin для Android; - знает Android SDK, понимает архитектуру Android; - имеет опыт работы с Android Studio, Gradle; - знаком с принципами Material Design; - имеет опыт работы с системами контроля версий Git; - работал с SQL базами данных;   Будем большим плюсом, если: - есть опубликованные Android-приложения (Google Play); - есть опыт коммерческой разработки под Android.   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID. - имеет опыт разработки на Java или Kotlin...;;
79;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;90000.0;200000.0;Аналитические решения;2019-11-18T12:03:35+0300;3;6;Полный день;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; Возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; ASP.NET; MS SQL; C#; SQL; MVC; RabbitMQ; PostgreSQL; Высоконагруженные системы; Микросервисы; KAFKA; Python; NET Core; Vue.js"
81;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;90000.0;200000.0;ОТС;2019-11-18T11:43:13+0300;3;6;Гибкий график;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; MS SQL; PostgreSQL; C#; MVC; ASP.NET; SQL; KAFKA; Высоконагруженные системы; Микросервисы; Python"
12;Web-программист;Санкт-Петербург;100000.0;200000.0;Alloy Software Inc.;2019-11-20T12:56:52+0300;3;6;Удаленная работа;Полная занятость;"Требования: Frontend:  Знание современного JavaScript (ES6+) Знание CSS Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue)  Backend:  Опыт работы с .NET Core или .NET Framework 4+  Будет плюсом:  Опыт работы с JQuery; Опыт работы с extJS; Опыт разработки стилей с использованием LESS или SASS/SCSS;  Обязанности:  Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений Участие в сопровождении приложений и инфрастуктуры разработки Совместная работа с другими группами, участвующими в разработке  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ;Знание современного JavaScript (ES6+). Знание CSS. Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue). ;Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений. Участие в сопровождении приложений и инфрастуктуры разработки. ;.NET Core, Angular
34;Senior PHP-developer (full-stack);Екатеринбург;100000.0;200000.0;Банк горящих туров, Туристическая компания;2019-11-20T09:37:46+0300;3;6;Удаленная работа;Полная занятость;Банк Туров - активно развивающаяся международная компания по продаже туристических путевок. Делаем упор на продажи в мобильных устройствах и онлайн в целом (на это направлена существенная часть разработки), также у нас самописная CRM-система (тот же стэк технологий, что и для сайта). Задач и работы много. В связи с переходом отдела разработки на удаленный режим работы, укомплектовываем команду заново. Полный рабочий день. 80% задач связаны с бэкендом (задачи правки верстки, текстов, создания статичных страничек тоже бывают) Стэк технологий: ubuntu+nginx+mysql+php7.2+symfony2.8+memcached+redis+sphinx От Вас мы ждем опыта в крупных проектах (т.е. если вы работали только с тривиальными сайтами на CMS - верстка шаблона + подгон готовых модулей - не подойдете), если быть точнее опыт работы в крупных проектах подразумевает:- умение проектировать сложные системы- знание паттернов, ООП, умение придумывать свои подходы (умение изобразить идеи в понятном виде)- умение оптимизировать SQL запросы (писать запросы с учетом нагрузки на БД, у нас гигабайтные базы, миллионы строк)- умение самостоятельно развернуть рабочее место (ubuntu с необходимым стэком, наличие подходящего рабочего места соответственно) В замен за ответственную работу предлагаем достойную ЗП с возможностью работать удаленно, гибкое начало рабочего дня (выбираете заранее и придерживаетесь согласованного графика, в рабочее время важно быть онлайн) Рекомендации для сопроводительного письма: - указать логин в скайпе - приготовиться к собеседованию по скайпу с трансляцией вашего экрана 30-60 минут, включая техническую часть, сразу с непосредственным руководителем. - в сопроводительном должны быть отражены результаты вашей работы (примеры, которые можно посмотреть вживую, с подробным указанием вашего личного вклада в этот проект);;умение проектировать сложные системы. - знание паттернов, ООП, умение придумывать свои подходы (умение изобразить идеи в понятном виде). - умение самостоятельно развернуть...;80% задач связаны с бэкендом (задачи правки верстки, текстов, создания статичных страничек тоже бывают). Рекомендации для сопроводительного письма: - приготовиться к...;"MySQL; JavaScript; ООП; PHP7"
87;Разработчик Full Stack html5 игр;Новосибирск;100000.0;200000.0;Overmobile;2019-11-19T09:15:56+0300;3;6;Полный день;Полная занятость;Зарплата: от 100.000 до 200.000 рублейТребуемый опыт работы: от 3 Полная занятость, гибкий график О нас: Компания Overmobile 12 лет на рынке мобильных и браузерных игр. У нас десятки успешных игр на разных платформах. Мы - небольшая команда в большой компании. Делаем успешные html5 онлайн игры. Ищем талантливого Frontend программиста JS.   Что по технологиям:   Backend: Java   Front: JavaScript, ES5+, TypeScript, CSS3, html5     Что вам придётся делать:   Работать с серверными разработчиками   Разрабатывать клиентскую часть и новые интерфейсы игр     От кандидата:   Опыт программирования на Java от 2-x лет   Опыт работы с NoSQL, например MongoDB   Понимание принципов ООП   Знание основных design patterns (GoF)   Желание разбираться в чужом коде   Опыт работы с системами контроля версий   Опыт программирования на JavaScript/TypeScript от 1-2 лет   Будет плюсом:   Опыт работы в Геймдеве   Опыт работы с высоконагруженными проектами. (10к+ игроков могут собраться на ивэнт и поиграть онлайн)   Опыт разработки на C#, Java и других высокоуровневых языка   Условия:   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!  ;   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!  ;Опыт программирования на Java от 2-x лет. Опыт работы с NoSQL, например MongoDB. Понимание принципов ООП. Знание основных design...;Работать с серверными <highlighttext>разработчиками</highlighttext>. Разрабатывать клиентскую часть и новые интерфейсы игр.;"JavaScript; HTML5; ООП; jQuery; MongoDB"
38;Ведущий FrontEnd-разработчик;Екатеринбург;130000.0;200000.0;ДЖАСТ ВОРК;2019-11-19T11:16:10+0300;3;6;Удаленная работа;Полная занятость;В век высоких скоростей и больших возможностей цена времени высока. Поэтому особенно жалко его тратить на поездки в офис и обратно, стояние в пробках на улицах больших городов. У жителей небольших населённых пунктов преград на пути к достойной работе даже больше – длительные поездки из области, необходимость релокации, аренды жилья, расставание с друзьями и близкими. Такие способы потратить свои силы, время и жизнь нельзя назвать рациональными. Так, например, если на дорогу уходит 1-2 часа в день,то это от 10 дней до 3-х недель в год – полноценный отпуск. А стоимость аренды жилья из расчета 30 тысяч рублей в месяц или 360 тысяч рублей в год позволяет достойно провести этот дополнительный отпуск в теплых странах или на горнолыжных курортах. Мы решили отказаться от стереотипа, что работа должна совершаться в офисе и выстроили свои процессы так, чтобы доставлять работу туда, где её удобно выполнять. Всё что нужно от специалиста – компьютер и стабильный доступ в Интернет, хотя бы на скорости LTE. Если же вам не сидится на месте, Вы любите путешествовать или зимовать там, где теплее, то наше предложение понравится Вам ещё больше! Мы ценим любознательных и увлечённых людей и нам не важно в какой точке земного шара Вы находитесь. Главное – участвовать в периодических командных созвонах и своевременно выполнять запланированную работу. Кстати, путешествовать, когда это не делает основная масса туристов, существенно дешевле. Попробуйте! Хотите работать меньше 40 часов в неделю – не стесняйтесь, говорите прямо и мы предложим Вам особые условия. Кстати, в 2018 году мы вошли в тройку компаний с наилучшими условиями для работы в своей весовой категории Теперь несколько слов о том, что и как мы делаем. Наша компания занимается заказной разработкой. И наш основной профиль и экспертиза – информационные системы для дистрибуции медиаконтента в Интернете. Конечно, мы хорошо умеем делать и другие штуки. Есть опыт создания специализированных CRM, крупных информационных комплексов, автоматизирующих бизнес-процессы, множества сервисов разной направленности. Умеем работать с высокой нагрузкой. Чтобы быть эффективнее, мы стремимся унифицировать технологический стек, постоянно подбираем и оттачиваем удобные инструменты – в нашем арсенале сейчас VueJS, ReactJS. Разработку ведем проектными командами в рамках гибкой методологии с использованием Redmine, Jira и GitLab. Мы ищем опытного специалиста, отлично владеющего JavaScript и VueJS и готового стать ключевым экспертом в одной из наших проектных команд. А мы готовы платить за это от 130 до 200 тысяч рублей в месяц.И последнее, о чём хотелось бы упомянуть. Отрасль коммерческой разработки бурно растет и даже не думает замедляться. Наша компания растет вместе с ней. Если у вас есть цель развиваться и хорошо зарабатывать – давайте сотрудничать. Активно участвуйте в нашем росте и ваши инициативы окупятся сполна.;;;;"JavaScript; Vue.js; React.js; HTML; CSS; Babel; Webpack; Git; Docker; Кроссбраузерная верстка"
20;Программист;Москва;150000.0;200000.0;Филиал «Юго-Восточный» ООО «Антей»;2019-11-20T08:59:46+0300;1;3;Полный день;Полная занятость;"  Знание:  Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий клиент» Стандарты программирования в среде 1С. Архитектура программных продуктов: 1С: ЕRP, 1С: Бухгалтерия, 1С: Зарплата и управление персоналом. Принципы бухгалтерского и налогового учетов, основы учета заработной платы. Конвертация данных 2.0 и 3.0  Обязанности:  Обработка запросов пользователей на изменения и устранение инцидентов в работе информационных систем на базе 1С. Реализация изменений в информационных системах 1С, проектирование системы, разработка функциональной модели. Сопровождение и обновление баз данных Настройка интеграции между существующими базами данных. Обучение и консультирование пользователей 1С. Подготовка технической документации к информационным системам 1С. Участие в рабочих совещаниях и рабочих группах компании по системам автоматизации 1С и связанных с ними бизнес-процессов.  Приветствуется:  Сертификаты специалиста по платформе, ЕRP, УТ.  Требования:  Эффективно и быстро разрабатывать новые модули в системе 1С, в соответствии с рекомендованными стандартами. Уточнять и структурировать запросы пользователей. Тестировать разработанные механизмы (как свои, так и чужие). Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы программистом на проектах внедрения на платформе 1С либо специалистом поддержки в крупной компании Высшее образование Наличие сертификата по профессионалу ЕRP  Условия:  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";"  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы <highlighttext>программистом</highlighttext> на проектах внедрения на платформе 1С либо...;Знание: Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий...;
55;Программист 1C;Москва;150000.0;200000.0;Акушерство.ru, Компания;2019-11-19T13:01:34+0300;1;3;Полный день;Полная занятость;"Основные задачи:• Внедрение новых, поддержание и развитие текущих информационных систем компании (КИС УПП, 1С: БП, ЗУП, СКУД, WMS, мобильная 1С);• Разработка конфигурации, совместная разработка с использованием хранилища конфигурации 1С;• Интеграция 1С со сторонними системами;• Тестирование собственного кода;• Техническая поддержка пользователей: 5-10 %;• ESB, XSD, WSDL, JS, XDTO и прочее;• Выполнение поставленных задач в сроки;• Работа в команде, работа на результат. Какие знания вам потребуются:• Образование - высшее;• Опыт работы разработчиком 1C от года;• Умение разбираться в чужом коде;• Умение работать в команде, групповая разработка;• Понимание ТЗ, предложение лучших альтернатив решений задачи;• Готовность развиваться, осваивать новые технологии. Мы предлагаем:• Высокий уровень зарплаты, а также бонусную систему за результат;• Интересные и амбициозные задачи;• Молодой и дружный коллектив профессионалов;• Посещение профильных мероприятий, обучение;• Оформление по ТК РФ;• График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно);• Офис: м. Рязанский пр-т или ж/д. ст. Плющево, Вешняки (10 мин пешком).";"• Высокий уровень зарплаты, а также бонусную систему за результат;• Интересные и амбициозные задачи;• Молодой и дружный коллектив профессионалов;• Посещение профильных мероприятий, обучение;• Оформление по ТК РФ;• График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно);• Офис: м. Рязанский пр-т или ж/д. ст. Плющево, Вешняки (10 мин пешком).";Какие знания вам потребуются: Образование - высшее. Опыт работы <highlighttext>разработчиком</highlighttext> 1C от года. Умение разбираться в чужом коде. ;Внедрение новых, поддержание и развитие текущих информационных систем компании (КИС УПП, 1С: БП, ЗУП, СКУД, WMS, мобильная 1С). ;
