;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
70;Back-end Laravel developer;Москва;200000.0;300000.0;Soshace;2019-11-20T11:16:32+0300;3;6;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with PHP 1+ year of professional experience with Laravel A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with PHP. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"PHP; Laravel"
42;Front-end React/Angular Developer;Санкт-Петербург;200000.0;300000.0;Soshace;2019-11-19T11:20:47+0300;3;6;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework"
92;Senior Android Developer;Тюмень;200000.0;290000.0;Тензор;2019-11-15T09:56:52+0300;3;6;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшна”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. В нашу компанию требуется ведущий Android-разработчик. Вам предстоит:  разрабатывать мобильные приложения на базе Android для продуктов компании, которыми пользуется более миллиона клиентов по всей России; проектировать и разрабатывать большие функциональные части приложения с привлечением других программистов.  Мы ждём от Вас:  опыт разработки под Android от 3-х лет; понимание паттернов архитектуры MVP и MVVM; отличное знание Java/Kotlin и Android SDK; опыт работы с Git, Dagger 2, RxJava. знание шаблонов проектирования; опыт параллельного и многопоточного программирования; знание классических алгоритмов и структур данных.  Будет плюсом:  наличие своих проектов на github или аналогичном сайте.  Мы предлагаем:  оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; ДМС после года работы в компании; курсы иностранных языков; корпоративные праздники и различные совместные мероприятия, спортивные программы. ";"  оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; ДМС после года работы в компании; курсы иностранных языков; корпоративные праздники и различные совместные мероприятия, спортивные программы. ";Опыт разработки под Android от 3-х лет. Понимание паттернов архитектуры MVP и MVVM. Отличное знание Java/Kotlin и Android...;...компании, которыми пользуется более миллиона клиентов по всей России. Проектировать и разрабатывать большие функциональные части приложения с привлечением других <highlighttext>программистов</highlighttext>.;
