;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
9;Инженер-программист;Санкт-Петербург;80000.0;160000.0;Фирма НИТА;2019-11-20T12:39:52+0300;3;6;Полный день;Полная занятость;Обязанности:  Разработка программно-аппаратных решений в области управления воздушным движением, среди которых: Системы записи информации различного вида Системы диагностики Системы защиты информации Системы управления воздушным движением Прочие системы, решающие задачи в обл. управления воздушным движением Работа в интересной отрасли высокотехнологичной промышленности Разработка “реального” продукта, который можно “потрогать руками”  Требования:  Хорошее знание С++, STL Опыт кроссплатформенной разработки Windows/Linux Опыт многопоточного программирования Опыт сетевого программирования Опыт программирования пользовательского интерфейса с использованием Qt Хорошая математическая подготовка, навыки решения алгоритмических задач Умение работать в команде, коммуникативные навыки  Условия: - ДМС после окончания испытательного срока - скидка на абонемент в фитнес  ; - ДМС после окончания испытательного срока - скидка на абонемент в фитнес  ;Хорошее знание С++, STL. Опыт кроссплатформенной разработки Windows/Linux. Опыт многопоточного программирования. Опыт сетевого программирования. Опыт программирования пользовательского интерфейса с...;Разработка программно-аппаратных решений в области управления воздушным движением, среди которых: Системы записи информации различного вида. Системы диагностики. ;"Qt; C++; Linux; STL; Windows 7"
91;Middle/Senior C# разработчик;Новосибирск;80000.0;160000.0;FullStack;2019-11-18T16:26:09+0300;3;6;Полный день;Полная занятость;В большой международный SaaS проект на платформе .NET требуется веб-разработчик. Основные требования:  C# ASP.NET MVC/Core React, Redux, TypeScript Entity Framework ООП SOLID HTTP, REST    Не технические требования:  Английский на уровне чтения/понимания без словаря В компании качество кода ценится превыше всего поэтому аккуратность, внимательность к деталям и перфекционизм будут оценены и даже где-то помогут компенсировать недостаток технических знаний    Обязанности и задачи:  Разработка frontend/backend    Условия:  40 часовая рабочая неделя в офисе (гибкий график) Устройство по ТК Оплачиваемые занятия спортом Оплачиваемое питание Офис в центре города рядом с метро Использование всего спектра современных инструментов доступных для улучшения качества разработки: ReSharper, CI, юнит и интеграционное тестирование, Upsource (code review), GitHub, Slack ;  40 часовая рабочая неделя в офисе (гибкий график) Устройство по ТК Оплачиваемые занятия спортом Оплачиваемое питание Офис в центре города рядом с метро Использование всего спектра современных инструментов доступных для улучшения качества разработки: ReSharper, CI, юнит и интеграционное тестирование, Upsource (code review), GitHub, Slack ;C#. ASP.NET MVC/Core. React, Redux, TypeScript. Entity Framework. ООП. SOLID. HTTP, REST. Английский на уровне чтения/понимания без словаря. ;Разработка frontend/backend.;
22;Игровой программист C++;Москва;100000.0;160000.0;Артплант;2019-11-20T14:58:58+0300;3;6;Полный день;Полная занятость;В Тверской офис компании Toadman Interactive на постоянную работу требуется программист C++/Unreal Engine 4. Работа в офисе (г. Тверь), обсудим вариант переезда из других стран/городов, удаленную работу не рассматриваем. Размер заработной платы устанавливается по результатам собеседования. Требования:  Опыт работы по специальности С++, Git Английский язык на уровне Intermediate Знание игровой индустрии Обучаемость, умение и желание разбираться в новых технологиях  Плюсом будет:  Опыт работы с Unreal Engine 4 Опыт работы с другими движками Опыт работы с консолями Опыт работы над ААА проектами жанра шутер  Условия:  График 5/2, полный рабочий день, гибкое время начала дня Официальное трудоустройство по ТК РФ Уютный офис в историческом центре Твери Дружественная атмосфера в коллективе ;  График 5/2, полный рабочий день, гибкое время начала дня Официальное трудоустройство по ТК РФ Уютный офис в историческом центре Твери Дружественная атмосфера в коллективе ;Опыт работы по специальности. С++, Git. Английский язык на уровне Intermediate. Знание игровой индустрии. Обучаемость, умение и желание разбираться в...;;"Git; C++; ООП; Английский язык; Unreal Engine 4"
6;Игровой программист C++;Санкт-Петербург;100000.0;160000.0;Артплант;2019-11-20T14:58:58+0300;3;6;Полный день;Полная занятость;В Тверской офис компании Toadman Interactive на постоянную работу требуется программист C++/Unreal Engine 4. Работа в офисе (г. Тверь), обсудим вариант переезда из других стран/городов, удаленную работу не рассматриваем. Размер заработной платы устанавливается по результатам собеседования. Требования:  Опыт работы по специальности С++, Git Английский язык на уровне Intermediate Знание игровой индустрии Обучаемость, умение и желание разбираться в новых технологиях  Плюсом будет:  Опыт работы с Unreal Engine 4 Опыт работы с другими движками Опыт работы с консолями Опыт работы над ААА проектами жанра шутер  Условия:  График 5/2, полный рабочий день, гибкое время начала дня Официальное трудоустройство по ТК РФ Уютный офис в историческом центре Твери Дружественная атмосфера в коллективе ;  График 5/2, полный рабочий день, гибкое время начала дня Официальное трудоустройство по ТК РФ Уютный офис в историческом центре Твери Дружественная атмосфера в коллективе ;Опыт работы по специальности. С++, Git. Английский язык на уровне Intermediate. Знание игровой индустрии. Обучаемость, умение и желание разбираться в...;;"Git; C++; ООП; Английский язык; Unreal Engine 4"
26;Frontend-разработчик / Senior developer;Новосибирск;120000.0;160000.0;Bazon;2019-11-20T09:51:00+0300;6;0;Полный день;Полная занятость;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече! Что мы уже делаем: Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов; Разрабатывать компоненты на Vue; Проводить рефакторинг существующих проектов; Организовать работу других фронтенд-разработчиков и взаимодействие с бекенд-разработчиками.    Чего тебе делать не придется  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Отличное знание JS; Современные стандарты, паттерны; Опыт организации кода больших проектов без использования фреймворков; Отличное знание любого из фреймворков: Vue.JS, AngularJS, React.JS; Умение разбираться и готовность поддерживать чужой код (даже написанный с использованием jQuery); Опыт работы со сборщиками: webpack или gulp; Опыт работы с Service Worker; Опыт написания тестов.    Уровень заработной платы по результатам собеседования.";;Отличное знание JS. Современные стандарты, паттерны. Опыт организации кода больших проектов без использования фреймворков. Отличное знание любого из фреймворков: Vue.JS...;Проводить рефакторинг существующих проектов. Организовать работу других фронтенд-<highlighttext>разработчиков</highlighttext> и взаимодействие с бекенд-<highlighttext>разработчиками</highlighttext>. Чего тебе делать не придется. ;"JavaScript; Ajax; HTML; CSS3"
78;PHP разработчик / Senior PHP developer;Новосибирск;120000.0;160000.0;Bazon;2019-11-20T09:53:03+0300;6;0;Полный день;Полная занятость;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече!   Что мы уже делаем! Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Решать задачи самого разного плана: начиная от исправления небольшого бага до разработки и внедрения сложных бизнес-процессов компании; Рефакторить, оптимизировать и искать узкие места в уже существующем коде; Предлагать и обсуждать идеи, внедрять свои собственные решения.    Чего тебе делать не придется:  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Опыт разработки проектов на PHP + MySQL не менее 5 лет; Знание любого современного фреймворка (Yii2, Laravel, Symfony); Понимание принципов построения HighLoad-сервисов с высоким SLA; Хорошее знание любой СУБД (MySQL, PostgreSQL и т.д.); Понимание и опыт применения паттернов проектирования (понимание принципов SOLID и MVC); Знание UNIX-подобных ОС (уровень продвинутого пользователя); Опыт командной разработки с использованием Git или Mercurial; Опыт разработки коммерческих продуктов; Ориентация на результат, а не процесс.    Условия:  Официальное трудоустройство; Работа в небольшой команде; Просторный офис с видом на реку; Современное рабочее место; Гибкий график работы; Только полная занятость и работа в офисе; Перспективы для профессионального и карьерного роста.    Уровень заработной платы по результатам собеседования.";"  Официальное трудоустройство; Работа в небольшой команде; Просторный офис с видом на реку; Современное рабочее место; Гибкий график работы; Только полная занятость и работа в офисе; Перспективы для профессионального и карьерного роста.    Уровень заработной платы по результатам собеседования.";Опыт разработки проектов на PHP + MySQL не менее 5 лет. Знание любого современного фреймворка (Yii2, Laravel, Symfony). ;Решать задачи самого разного плана: начиная от исправления небольшого бага до разработки и внедрения сложных бизнес-процессов компании. ;"PHP; HTML; MySQL; CSS; XML; jQuery; JavaScript; Ajax"
1;Программист Go;Екатеринбург;50000.0;150000.0;Прикладные технологии;2019-11-20T10:37:38+0300;0;0;Полный день;Полная занятость;Ищем Go разработчика для расширения команды в одном из новых проектов.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание и опыт работы с Go, C++ или Python. Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Опыт работы с SQL/NoSQL базами. Опыт работы с многопоточным и асинхронным программированием. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с контейнерами (Docker). Опыт работы с очередями сообщений. Разговорный английский язык.    Обязанности:  Разработка back-end приложения на Go с применением современных framework-ов.    Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете.   Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание и опыт работы с Go, C++ или Python. Знание ООП, структур данных...;Разработка back-end приложения на Go с применением современных framework-ов.;
2;Программист Front-end/JavaScript (Junior/Middle/Senior);Екатеринбург;50000.0;150000.0;Прикладные технологии;2019-11-20T10:37:53+0300;0;0;Полный день;Полная занятость;Ищем Front-end/JavaScript разработчиков всех уровней (Junior, Middle, Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Хорошее знание JavaScript (ES6), HTML5, CSS3. Знание и понимание ООП, паттернов проектирования. Опыт Front-end разработки на JavaScript (можно учебные проекты). Желание изучать и использовать новые технологии в процессе разработки ПО. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.  Будет плюсом:  Опыт работы с популярными JS-фреймворками, а также умение обходиться без них. Опыт работы с UX дизайнерами и способность превращения мокапов в работающее клиентское приложение, используя HTML5, CSS3 и JavaScript. Опыт разработки мобильных версий web-приложений. Опыт работы в команде. Знание и умение работать с Git, SVN, Jira.    Обязанности:  Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.    Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете.   Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Хорошее знание JavaScript (ES6), HTML5, CSS3. Знание и понимание ООП...;Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.;
6;Программист Java (Junior/Middle/Senior);Екатеринбург;50000.0;150000.0;Прикладные технологии;2019-11-20T10:37:46+0300;0;0;Полный день;Полная занятость;Ищем Java разработчиков всех уровней (Junior/Middle/Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с SQL/NoSQL базами. Опыт работы со Spring, Hibernate и другоми современными framework-ами. Разговорный английский язык.    Обязанности:  Разработка back-end приложений на Java с применением современных framework-ов.    Собеседование только после предоставления резюме.    Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. ;Разработка back-end приложений на Java с применением современных framework-ов.;
65;Программист C#/ .NET;Санкт-Петербург;60000.0;150000.0;Syntellect (Синтеллект);2019-11-18T12:54:58+0300;1;3;Удаленная работа;Полная занятость;Сфера деятельности компании Syntellect – разработка и внедрение решений по автоматизации документооборота и бизнес-процессов на платформе TESSA - самой быстрой СЭД на рынке Среди текущих заказчиков - Банк ВТБ, Allianz, ГК Дикси, Peugeot Citroen, JTI, НПФ Сбербанка, СМП Банк, Мособлбанк, СК Транснефть, Л`Этуаль и др.   Обязанности:  Разработка и сопровождение программных решений в области автоматизации документооборота на базе платформы TESSA    Требования (обязательные):  Высшее\неполное высшее образование в сфере ИТ Знание технологий и опыт работы с C#/ .Net, T-SQL Умение работать в команде    Требования (желательные):  Опыт работы с WPF Опыт в автоматизации задач документооборота    Условия:  Профессиональный и карьерный рост Обучение в процессе работы Оформление по ТК РФ Заработная плата - по результатам собеседования Бонусная система ;  Профессиональный и карьерный рост Обучение в процессе работы Оформление по ТК РФ Заработная плата - по результатам собеседования Бонусная система ;Высшее\неполное высшее образование в сфере ИТ. Знание технологий и опыт работы с C#/ .Net, T-SQL. Умение работать в...;Разработка и сопровождение программных решений в области автоматизации документооборота на базе платформы TESSA.;"C#; Transact-SQL; SQL; MS SQL; .NET Framework; Разработка ПО"
63;IOS Developer (Middle);Тюмень;80000.0;150000.0;Строительный Двор;2019-11-19T09:24:57+0300;1;3;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи!Требования:  опыт разработки клиент-серверных приложений; знание Swift; понимание основных паттернов проектирования мобильных приложений; умение работать с базами данных (Core data, Realm, sqlite); опыт работы с CocoaPods, Pub, swift package manager; Публикация в AppStore; опыт работы с Git; опыт разработки UI/Unit тестов; умение работать с Auto Layout, UIKit.  Будет плюсом:  опыт работы с RxSwift, RxCocoa; опыт разработки клиент-серверных приложений.  Обязанности:  разработкой мобильного приложения для торговых представителей  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт разработки клиент-серверных приложений. Знание Swift. Понимание основных паттернов проектирования мобильных приложений. Умение работать с базами данных (Core data...;Разработкой мобильного приложения для торговых представителей.;"Git; iOS; AppStore; UI/Unit; Swift; Realm; SQLite; Auto Layout; CocoaPods; Core data; UIKit"
