;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
88;Программист С;Санкт-Петербург;;;QTECH;2019-11-19T14:33:04+0300;1;3;Удаленная работа;Проектная работа;Программист С (аутсорс, фриланс)   Компания Qtech занимается разработкой и производством телекоммуникационного оборудования. Мы приглашаем программистов к сотрудничеству на проектной основе. Задачи: - Разработка ПО для абонентских устройств (домашние роутеры, plc и т.д.) - Разработка тестов к реализованному функционалу Ожидаем от Вас: - Отличное знание языка С - Хорошее знание Linux internals, опыт программирования под Linux - Опыт разработки и отладки сетевых приложений, знание сетей и принципов их работы    ;;Отличное знание языка С. - Хорошее знание Linux internals, опыт программирования под Linux. - Опыт разработки и отладки сетевых приложений, знание сетей...;Компания Qtech занимается разработкой и производством телекоммуникационного оборудования. - Разработка ПО для абонентских устройств (домашние роутеры, plc и т.д.). - ;
35;Программист С;Екатеринбург;;;QTECH;2019-11-18T07:57:06+0300;1;3;Удаленная работа;Проектная работа;Программист С (аутсорс, фриланс)   Компания Qtech занимается разработкой и производством телекоммуникационного оборудования. Мы приглашаем программистов к сотрудничеству на проектной основе. Задачи: - Разработка ПО для абонентских устройств (домашние роутеры, plc и т.д.) - Разработка тестов к реализованному функционалу Ожидаем от Вас: - Отличное знание языка С - Хорошее знание Linux internals, опыт программирования под Linux - Опыт разработки и отладки сетевых приложений, знание сетей и принципов их работы    ;;Отличное знание языка С. - Хорошее знание Linux internals, опыт программирования под Linux. - Опыт разработки и отладки сетевых приложений, знание сетей...;Компания Qtech занимается разработкой и производством телекоммуникационного оборудования. - Разработка ПО для абонентских устройств (домашние роутеры, plc и т.д.). - ;
50;Программист С;Новосибирск;;;QTECH;2019-11-18T07:57:06+0300;1;3;Удаленная работа;Проектная работа;Программист С (аутсорс, фриланс)   Компания Qtech занимается разработкой и производством телекоммуникационного оборудования. Мы приглашаем программистов к сотрудничеству на проектной основе. Задачи: - Разработка ПО для абонентских устройств (домашние роутеры, plc и т.д.) - Разработка тестов к реализованному функционалу Ожидаем от Вас: - Отличное знание языка С - Хорошее знание Linux internals, опыт программирования под Linux - Опыт разработки и отладки сетевых приложений, знание сетей и принципов их работы    ;;Отличное знание языка С. - Хорошее знание Linux internals, опыт программирования под Linux. - Опыт разработки и отладки сетевых приложений, знание сетей...;Компания Qtech занимается разработкой и производством телекоммуникационного оборудования. - Разработка ПО для абонентских устройств (домашние роутеры, plc и т.д.). - ;
