;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
82;PHP-разработчик;Новосибирск;100000.0;130000.0;Восток Инновации;2019-11-18T10:05:45+0300;3;6;Гибкий график;Полная занятость;"Мы делаем CRM систему по модели SAAS, которая помогает бизнесу в сфере образования. Она автоматизирует добрую часть рутинных процессов (это точно), снимает головную боль и нормализует сон (это не точно). У нас небольшая, дружная и эффективная команда, поэтому мы занимаем лидирующие позиции среди конкурирующих CRM для образования. Мы ищем разработчика PHP, имеющего навыки работы с фреймворком Yii2. Если у вас другой, но релевантный опыт — все равно пишите. От нас:  Уютный офис в тихом центре, комфортное рабочее место; Качественно спроектированная сложная архитектура, highload; Отлично написанный код и продуманные стили кодирования; Дружественная атмосфера в коллективе;  От вас:  Знание PHP7, понимание ООП и MVC; Опыт работы с фреймворком Yii2; Ваша ОС — Linux; ";;От вас: Знание PHP7, понимание ООП и MVC. Опыт работы с фреймворком Yii2.;Ваша ОС — Linux.;"PHP; Git; JavaScript; MySQL; Yii; PHP7"
88;PHP-разработчик;Екатеринбург;30000.0;50000.0;Хоум Пицца;2019-11-18T12:20:01+0300;1;3;Полный день;Полная занятость;В команду разработки собственных проектов службы доставки Хоум-Пицца требуется PHP-разработчик. Ты нам подходишь, если: - Имеешь опыт разработки на PHP (мы используем 7) - Знаком с любым PHP фреймворком, например, Symfony или Laravel - Знаешь, как писать правильные SQL запросы (у нас MySQL) - Имеешь знакомство с AngularJS, JS, HTML, CSS - Понимаешь для чего нужен Git и как им пользоваться - Готов разбираться в чужом коде Что предстоит делать: - Сопровождение и модернизация существующих проектов компании - Участие в проектировании и разработке новых сервисов Мы предлагаем: - Молодой дружный коллектив - Удобный график работы - Официальное трудоустройство согласно ТК РФ - Достойный уровень заработной платы, выплачивается своевременно, 2 раза в месяц  ; - Молодой дружный коллектив - Удобный график работы - Официальное трудоустройство согласно ТК РФ - Достойный уровень заработной платы, выплачивается своевременно, 2 раза в месяц  ;Имеешь опыт разработки на PHP (мы используем 7). - Знаком с любым PHP фреймворком, например, Symfony или Laravel. - Знаешь, как писать...;Что предстоит делать: - Сопровождение и модернизация существующих проектов компании. - Участие в проектировании и разработке новых сервисов.;"MySQL; Git; AngularJS; JavaScript; PHP"
44;PHP-разработчик;Екатеринбург;100000.0;;Метротел;2019-11-20T09:14:51+0300;3;6;Полный день;Полная занятость;"Международный облачный сервис, специализирующийся на телекоммуникационных услугах, приглашает в свою команду PHP-разработчика. Ищем человека, которому интересно работать в продуктовой компании, развиваться и развивать.   Обязанности: - модификация существующего ПО - написание нового ПО - развитие и поддержание крупного облачного проекта Требования: - знание PHP, MySQL, JS, Ajax, HTML, CSS; - опыт работы с фреймворками - умение разбираться в чужом коде; - знание сетевых протоколов и принципов их работы; - приветствуется знание других языков программирования (C, Java, Perl); - желание учиться и развиваться. Мы предлагаем: - активное участие в проектировании и построении процесса разработки - достойный уровень заработной платы - комфортный офис   Вакансия предполагает выполнение тестового задания  "; - активное участие в проектировании и построении процесса разработки - достойный уровень заработной платы - комфортный офис   Вакансия предполагает выполнение тестового задания  ;знание PHP, MySQL, JS, Ajax, HTML, CSS. - опыт работы с фреймворками. - умение разбираться в чужом коде. - знание сетевых протоколов и...;модификация существующего ПО. - написание нового ПО. - развитие и поддержание крупного облачного проекта. - активное участие в проектировании и построении процесса разработки.;"PHP; MySQL; Ajax; HTML; CSS"
76;PHP-разработчик;Москва;120000.0;;NodaSoft;2019-11-20T10:25:47+0300;3;6;Полный день;Полная занятость;"В компанию Nodasoft требуется php-разработчик. Крупнейший разработчик SaaS-решений в сфере торговли автозапчастями в России и СНГ. Рост компании составляет свыше 20% в год на протяжении 13 лет. Более 7 лет удерживаем лидирующую позицию на рынке.   Платформа ABCP - SaaS-решение для предпринимателей для создания интернет-магазина автозапчастей под ключ и насчитывает более 2000 постоянных клиентов (действующих онлайн и оффлайн магазинов автозапчастей: от стола заказов и до митсубиси моторс);   4MyCar - поисковик автозапчастей, где пользователь может сэкономить на очередном ТО или найти и купить сложную деталь для своего авто;   VinQu - сервис аутсорсинга экспертов для сферы автобизнеса, где грамотные специалисты подбирают запчасти по профессиональным каталогам для любых марок автомобилей.   ABCP.ru - самый успешный проект компании. Это платформа, на которой работают тысячи магазинов и каждый месяц запускаются около 100 новых. Участвуем в крупнейших профессиональных выставках. Работаем в двух офисах. 54 сотрудника, каждый из которых профи в своем деле. Средний стаж работы в компании составляет 5 лет с учетом того, что мы ежегодно растем и набираем новых сотрудников. Если Вы ставите своей целью профессиональный рост, вам будет интересно у нас. Мы используем PHP 5.5-7.3, Golang, Symfony, Redis, Memcached, MySQL, MongoDB, HTTP- и GRPc-микросервисы, WebSockets, RabbitMQ, Docker, Gitlab, Sentry, Upsource, Youtrack, Jenkins и т.д. Планируем время по Agile, но бывают исключения :)) От Вас как кандидата требуется:  знание языка PHP и ООП; знание SQL (CRUD, джойны); знание JQuery (хотя бы на уровне пользования селекторами и популярными плагинами); знакомство с RESTful API;  Также приветствуются:  умение работать с git (пул, пуш, коммит, работа с ветками); опыт работы с Linux, bash, Docker; знание шаблона MVC; умение разбираться в чужом коде; способность работать в команде с разработчиками и team leaderом.  На собеседование попросим принести с собой примеры Вашего кода. Вам предстоит:  участвовать в fullstack-разработке продуктовых возможностей платформы (фичи для магазинов, админка, отчеты и т.п.); развивать инфраструктуру платформы (сервисы, апи, взаимодействие с внешними системами); участвовать в разработке инфраструктуры биллинга и внутренней CRM; придумывать сложные и интересные решения для работы с большими объемами данных.  Плюсы работы у нас:  оформление в штат компании с первого дня согласно ТК РФ; заработная плата по итогам собеседования с периодическим ростом; график работы — 5/2, 8 часов в день, гибкие начало и конец работы; вкусный кофе, фрукты, плюшки на кухне в офисе; адекватные коллеги и руководство; никаких тайм-трекеров и подобной дряни; работа в команде высококлассных специалистов над highload-проектами; обучение и профессиональный рост. ";;Опыт работы с Linux, bash, Docker. Знание шаблона MVC. Умение разбираться в чужом коде. Способность работать в команде с <highlighttext>разработчиками</highlighttext>...;Участвовать в fullstack-разработке продуктовых возможностей платформы (фичи для магазинов, админка, отчеты и т.п.). Развивать инфраструктуру платформы (сервисы, апи...;"PHP; MySQL; REST; API; backend; developer; ООП"
