;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
78;Программист SQL;Москва;90000.0;120000.0;Гарант;2019-11-19T11:51:34+0300;0;0;Полный день;Полная занятость;Крупной российской стабильной (29 лет на рынке) IT-компании для работы в Финансовом управлении требуется программист SQL. Функционал: - Участие в разработке новых и поддержке существующих решений для сбора, обработки, обмена и хранения данных большого объёма и сложной структуры с использованием БД SQL. - Поддержка и развитие ERP системы компании в части, относящейся к работе с данными в распределенной БД MS SQL Server. - Разработка серверных приложений на основе БД SQL, для осуществления юридически значимого сбора и обмена информацией с гос. органами. - Разработка и поддержка решений для загрузки, хранения, обработки и использования информации о фактах экономической деятельности компании. - Оптимизация использования БД в существующих решениях, относящихся к вопросам, упомянутым выше. Требования к кандидатам: - Высшее образование (математическое, техническое). - Опыт разработки программного обеспечения по данному направлению. - ANSI SQL, ООП, XML, XSL. - Желательны знакомство с WPF, MVC, SVN и опыт работы с многопоточными приложениями. Условия работы: - Работа в офисе. 8-ми часовой рабочий день. График работы обсуждается. - Офис в шаговой доступности от м. Ломоносовский проспект (территория МГУ). - Оформление в штат компании. Соблюдение ТК РФ. Белая заработная плата. - Заработная плата осуждается индивидуально с каждым кандидатом.  ;;Высшее образование (математическое, техническое). - Опыт разработки программного обеспечения по данному направлению. - ANSI SQL, ООП, XML, XSL. - Желательны знакомство с WPF...;Функционал: - Участие в разработке новых и поддержке существующих решений для сбора, обработки, обмена и хранения данных большого объёма и сложной...;"WPF; MS SQL; XML; SQL; SVN"
4;Программист SQL;Екатеринбург;70000.0;;ГОРОДСКИЕ ЗРЕЛИЩНЫЕ КАССЫ;2019-11-20T12:23:19+0300;1;3;Полный день;Полная занятость;"  Обязанности:  Сопровождение, доработка и разработка новых систем на PostgreSQL, MySQL; Проектирование, разработка, анализ, оптимизация архитектуры баз данных, структур данных, таблиц, словарей; Создание отчетов и выборок Проектирование, разработка, анализ, оптимизация ETL процессов; Участие в разработке различного ПО, внедрение и сопровождение разработанных приложений; Участие в проектировании и построении отказоустойчивой инфраструктуры; Участие в создании централизованной системы хранения и обработки данных, OLAP; Работа в команде с другими разработчиками.  Требования:  Высшее образование (желательно техническое); Опыт работы с различными РСУБД - не менее 3 лет (PostgreSQL, MySQL в большей части, MS SQL - не приоритетно); Опыт написания хранимых процедур, функций и триггеров, оптимизации SQL-запросов, и т.д.; Умение разобраться в чужой архитектуре и чужом коде; Понимание и опыт оптимизации запросов; Отличные знания SQL, PL/pgSQL или PL/SQL; Аналитический склад ума, нацеленность на результат, творческий подход к выполнению заданий, умение принимать самостоятельные решения и нести за них ответственность, умение планировать выполнение задач и решать задачи в поставленные сроки; Нацеленность на долгосрочное сотрудничество; Английский язык: чтение тех. документации.  Приветствуется: опыт разработки архитектуры БД с нуля; опыт оптимизации и доработки архитектуры БД; знание и понимание принципов ООП, ACID, MVCC; понимание и опыт оптимизации работы СУБД PostgreSQL, MySQL, понимание тонкостей их настройки; опыт создания, настройки и оптимизации работы кластеров БД (PostgreSQL предпочтительно); участие в разработке высоконагруженных систем, систем с высокими требованиями к доступности; опыт использования систем контроля версий Git; опыт работы с MariaDB, MongoDB, Redis; опыт работы с MS SQL (T-SQL); опыт участия в создании OLAP; опыт в разработке хранилищ данных.";;Высшее образование (желательно техническое). Опыт работы с различными РСУБД - не менее 3 лет (PostgreSQL, MySQL в большей части, MS SQL...;...и построении отказоустойчивой инфраструктуры. Участие в создании централизованной системы хранения и обработки данных, OLAP. Работа в команде с другими <highlighttext>разработчиками</highlighttext>.;"PostgreSQL; MySQL; Git; Transact-SQL; ООП"
80;Программист SQL;Москва;80000.0;;Аврора-ИТ;2019-11-19T09:46:09+0300;1;3;Полный день;Полная занятость;"Компания «Аврора-ИТ» занимается автоматизацией деятельности аналитических подразделений: повышением эффективности работы процессов контроля качества, для продукции на предприятиях любых отраслей промышленности, в испытательных центрах и научно-исследовательских лабораториях. Наши заказчики – ТОП 100 крупнейших компаний России (рейтинг РБК). Обязанности:  разработка функционала собственного программного продукта LIMS; написание SQL запросов различной сложности (основная часть работы); тестирование и отладка/корректировка ПО; сопровождение внедрения ПО; консультации и обучение специалистов Заказчика по работе с ПО; создание технической документации, описывающей разработанный функционал.  Требования:  законченное высшее образование; знание любого языка программирования высокого уровня (С#, C++, Java, JScript, JavaScript); хорошее знание SQL (важно!); английский технический; знание основ ООП; готовность к командировкам (1 неделя раз в 4/6 месяцев); знание Crystal reports приветствуется; внимательность, ответственность и инициативность.  Условия:  Работа с передовыми ИТ-технологиями, команда уникальных специалистов; Проекты для ведущих компаний России, широкая география проектов внутри страны; График с 9-18, пт. до 17. Сб, вс – выходной; Оформление по ТК РФ в штат. Зарплата без задержек; Отдельные кабинеты по 3-5 человек; Чай и кофе на собственной кухне. Рядом кафе; Комфортабельный, светлый офис в 12 мин от м. Преображенская площадь; испытательный срок 2 месяца; Уровень заработной платы зависит от профессионального уровня и знаний, и обсуждается на собеседовании. ";"  Работа с передовыми ИТ-технологиями, команда уникальных специалистов; Проекты для ведущих компаний России, широкая география проектов внутри страны; График с 9-18, пт. до 17. Сб, вс – выходной; Оформление по ТК РФ в штат. Зарплата без задержек; Отдельные кабинеты по 3-5 человек; Чай и кофе на собственной кухне. Рядом кафе; Комфортабельный, светлый офис в 12 мин от м. Преображенская площадь; испытательный срок 2 месяца; Уровень заработной платы зависит от профессионального уровня и знаний, и обсуждается на собеседовании. ";Законченное высшее образование. Знание любого языка программирования высокого уровня (С#, C++, Java, JScript, JavaScript). Хорошее знание SQL (важно!). Английский технический. ;Разработка функционала собственного программного продукта LIMS. Написание SQL запросов различной сложности (основная часть работы). Тестирование и отладка/корректировка ПО. ;"Java; SQL; MS SQL; ООП; Разработка технических заданий"
54;Программист SQL;Санкт-Петербург;100000.0;;Монолит-Инфо;2019-11-19T10:29:59+0300;1;3;Полный день;Полная занятость;"Обязанности:  разработка и сопровождение модулей для ERP системы; написание хранимых процедур, триггеров и UDF на Transact SQL с использованием CASE средств системы; анализ проблем производительности, оптимизация существующих процедур.  Требования:  опыт прикладных разработок систем на основе MS SQL Server; хорошее владение TSQL; опыт реализации сложных запросов на TSQL для больших объемов данных; умение самостоятельно решать реализационные проблемы (анализ планов и оптимизация запросов).  Желательно:  опыт работы с MS SQL Analysis Services; знание С# и опыт работы в среде .NET Framework; знание XML.  Условия:  работа в офисе в центре города; 8-мичасовой рабочий день; достойный уровень вознаграждения (выше среднего для специалистов в данной области по Санкт-Петербургу) соцпакет (ДМС, оплата спортзала); мы предлагаем: интересную творческую работу в стабильном коллективе динамично развивающейся компании, перспективы профессионального роста. ";"  работа в офисе в центре города; 8-мичасовой рабочий день; достойный уровень вознаграждения (выше среднего для специалистов в данной области по Санкт-Петербургу) соцпакет (ДМС, оплата спортзала); мы предлагаем: интересную творческую работу в стабильном коллективе динамично развивающейся компании, перспективы профессионального роста. ";Опыт прикладных разработок систем на основе MS SQL Server. Хорошее владение TSQL. Опыт реализации сложных запросов на TSQL для больших...;Разработка и сопровождение модулей для ERP системы. Написание хранимых процедур, триггеров и UDF на Transact SQL с использованием CASE средств...;
