;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
20;Программист С#;Екатеринбург;70000.0;80000.0;Сеть кинотеатров Премьер-Зал;2019-11-18T11:41:47+0300;1;3;Полный день;Полная занятость;"Сети кинотеатров Премьер зал нужен идейный и творческий разработчик.В нашей компании мы разрабатываем большие и интересные проекты.Мы ищем специалиста с опытом разработки C# Требования: - профильное образование: IT, техническое; - опыт разработки на C#; - умение писать SQL-запросы; - опыт работы с WPF, ASP.NET MVC, T-SQL, Entity Framework, Web API; - дополнительным плюсом будут знание и опыт работы с: jQuery, AngularJS, Android SDK или Xamarin; - готовность работать в режиме многозадачности. Обязанности: - разработка и поддержка Back-end и Front-end приложений под Windows и Microsoft Azure; - расширение перечня поддерживаемого торгового оборудования; - разработка Web-виджетов на сайт; - ведение документации Мы предлагаем вам:  официальное трудоустройство согласно ТК РФ; интересные задачи; дружный и молодой коллектив; работа на постоянной основе   ЗП 2 раза в месяц, без задержек, Вся белая  Если Вы настоящий программист, любите свое дело, интересуетесь новыми технологиями и ищете стабильное, постоянное место работы, то мы будем рады рассмотреть Ваше резюме.";;профильное образование: IT, техническое. - опыт разработки на C#. - умение писать SQL-запросы. - опыт работы с WPF, ASP.NET MVC, T-SQL...;разработка и поддержка Back-end и Front-end приложений под Windows и Microsoft Azure. - расширение перечня поддерживаемого торгового оборудования. - ;"C#; ASP.NET; WPF; SQL"
15;Программист С#;Тюмень;50000.0;;СКАУТ;2019-11-11T11:02:07+0300;1;3;Удаленная работа;Полная занятость;"Обязанности:- Проектирование и разработка CRM системы на базе bpmonline;- Доработка и поддержка введенных в эксплуатацию модулей системы;Требования:- Профильное техническое образование;- Знание ООП и теории БД;- Навыки программирования C# и JS;Условия:- Стабильные выплаты по результатам реализации частей проекта; - З/П сдельная; - Удаленная работа.";"- Стабильные выплаты по результатам реализации частей проекта; - З/П сдельная; - Удаленная работа.";Профильное техническое образование. - Знание ООП и теории БД. - Навыки программирования C# и JS.;"Проектирование и разработка CRM системы на базе bpm&#39;online. - Доработка и поддержка введенных в эксплуатацию модулей системы.";
94;Программист С#;Екатеринбург;50000.0;;СКАУТ;2019-11-11T10:51:11+0300;1;3;Удаленная работа;Полная занятость;"Обязанности:- Проектирование и разработка CRM системы на базе bpmonline;- Доработка и поддержка введенных в эксплуатацию модулей системы;Требования:- Профильное техническое образование;- Знание ООП и теории БД;- Навыки программирования C# и JS;Условия:- Стабильные выплаты по результатам реализации частей проекта; - З/П сдельная; - Удаленная работа.";"- Стабильные выплаты по результатам реализации частей проекта; - З/П сдельная; - Удаленная работа.";Профильное техническое образование. - Знание ООП и теории БД. - Навыки программирования C# и JS.;"Проектирование и разработка CRM системы на базе bpm&#39;online. - Доработка и поддержка введенных в эксплуатацию модулей системы.";
52;Программист С#;Новосибирск;55000.0;;ЭлектроКомплектСервис;2019-11-18T06:24:47+0300;1;3;Полный день;Полная занятость;"Задачи:  разработка и поддержка бизнес-приложений Корпоративной учетной системы рефакторинг кода разработка функциональных расширений и интеграционных механизмов системы Поддержка пользователей  От Вас:  образование высшее опыт работы на проектах с распределенными данными хорошее знание СУБД MS SQL Server 2008 и выше (навыки построения (оптимальных запросов на большом объеме данных) хорошее владение средой разработки Microsoft Visual Studio 2010/2012, хорошее знание .NET языки программирования - C#.NET, ASP.NET знание ООП (объектно-ориентированного программирования) общительность и доброжелательность, обучаемость, системное мышление, нацеленность на положительный результат.  Условия:  оформление по ТК РФ; полный соц. пакет; 5-дневная рабочая неделя; з/плата = оклад + премия; обучение; возможность профессионального развития; развитая корпоративная культура. дружный коллектив  График работы:пятидневка с 08:30 до 17:30 (выходной суббота, воскресенье)  ";"  оформление по ТК РФ; полный соц. пакет; 5-дневная рабочая неделя; з/плата = оклад + премия; обучение; возможность профессионального развития; развитая корпоративная культура. дружный коллектив  График работы:пятидневка с 08:30 до 17:30 (выходной суббота, воскресенье)  ";Образование высшее. Опыт работы на проектах с распределенными данными. Хорошее знание СУБД MS SQL Server 2008 и выше (навыки построения...;Разработка и поддержка бизнес-приложений Корпоративной учетной системы. Рефакторинг кода. Разработка функциональных расширений и интеграционных механизмов системы. Поддержка пользователей.;
3;Программист С#;Санкт-Петербург;100000.0;;Смарт Телеком;2019-11-20T09:02:44+0300;3;6;Полный день;Полная занятость;Ищем штатного программиста для автоматизации бизнес-процессов, интеграции программных решений, создания инструментов аналитики и других программ, необходимых для работы нашей компании.  Обязанности:  разработка программного кода на C# (WinForms) создание хранимых процедур и запросов SQL поддержка существующих решений, построенных на основе .NET (C#).  Требования:    опыт программирования с использованием языка C# не менее 3 лет опыт работы с MS SQL опыт использования .NET не менее 3-х лет знание C#, .Net, LINQ, MS SQL, WCF знание английского языка на уровне чтения технической документации желателен опыт работы с Entity Framework, WPF  Условия:- работа в офисе в центре города- чай, кофе, кондиционер- возможность творчески воплощать требуемый функционал в программный код;- работа в офисе в центре города- чай, кофе, кондиционер- возможность творчески воплощать требуемый функционал в программный код;Опыт программирования с использованием языка C# не менее 3 лет. Опыт работы с MS SQL. Опыт использования .NET не менее...;Ищем штатного <highlighttext>программиста</highlighttext> для автоматизации бизнес-процессов, интеграции программных решений, создания инструментов аналитики и других программ, необходимых для работы нашей...;"C#; SQL; WCF; MS SQL; LINQ; .NET Framework"
73;Программист С#;Новосибирск;;;Система, НПО;2019-11-18T09:09:36+0300;1;3;Полный день;Полная занятость;В команду молодых профессионалов ищем программиста C#. НПО «Система» является одним из лидеров рынка тендерных услуг в городе Новосибирске. Мы работаем с многомиллиардным рынком государственных и муниципальных закупок, тендерами естественных монополий. Задачи:  Интеграция информационных сервисов компании Разработка парсеров сайтов электронных торговых площадок Проектирование и сопровождение баз данных (Postgress, MS SQL) Поддержка и доработка существующих систем автоматизации  Требования:  Навыки программирования на языках C# (.NET). Знание СУБД‚ в том числе MS SQL‚ Postgress‚ MySQL. Знание и умение работать с различным ПО. Понимание задач на уровне бизнес-требований, способность формализовывать бизнес-задачи на уровень технических требований Гибкость ума, системность, организованность Умение работать в условиях многозадачности Способность быстро осваивать новые технологии Навык работы с системами контроля версия‚ багтрекерами  Преимущества работы у нас: Интересные проектыСтабильность компании с 2009 годаРабота в молодой команде профессионаловКомфортный офис около ТехнопаркаПеченье‚ чай‚ кофеОфициальное трудоустройство‚ оплачиваемый отпуск‚ больничныйГрафик работы - пятидневная рабочая неделяСовместные корпоративные мероприятияРегулярные своевременные выплаты заработной платы Мы ждём Ваше резюме!Обязательно ответим в ближайшее время!;;Навыки программирования на языках C# (.NET). Знание СУБД‚ в том числе MS SQL‚ Postgress‚ MySQL. Знание и умение работать с...;Интеграция информационных сервисов компании. Разработка парсеров сайтов электронных торговых площадок. Проектирование и сопровождение баз данных (Postgress, MS SQL). ;"C#; MS SQL Server; ООП; Разработка ПО; Visual Studio C#; SQL"
