;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
62;Java-разработчик;Тюмень;30000.0;120000.0;Строительный Двор;2019-11-19T09:24:57+0300;1;3;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Java. Spring Framework (Boot, REST, Data-JPA). PostgreSQL. ;Проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes"
84;Java-разработчик;Тюмень;60000.0;80000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени и Кургане. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что нужно делать: Разрабатывать и сопровождать системы отчётности и бизнес-процессов. Мы хотим найти человека, который: - хорошо владеет языком программирования Java (JDK 1.8 и выше); - знает реляционные СУБД (PostgreSQL или SQL Server), SQL и MongoDB. Будет плюсом: - знание системы отчётности Eclipse BIRT и платформы Eclipse в целом; - знание движков бизнес-процессов Alfresco Activiti и Flowable; - знание Java EE (JMS, JAX-RS, JAX-WS) и Spring (Framework, Boot, Data, Security); - знание и опыт работы с Linux, Git. Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - хорошо владеет языком программирования Java (JDK 1.8 и выше). - знает реляционные СУБД (PostgreSQL или...;Разрабатывать и сопровождать системы отчётности и бизнес-процессов.;"Java; Linux; MS SQL Server; SQL; Eclipse"
78;Java-разработчик;Екатеринбург;40000.0;50000.0;Ай Ти Пром;2019-11-18T19:49:48+0300;1;3;Удаленная работа;Частичная занятость;"Компания Ай Ти Пром специализируется на разработке отраслевых решений для управления производственным процесом на промышленных предприятиях. Для усиления команды разработчиков в рамках реализации крупного проекта требуется Java-разработчик Full-Stack с общей занятостью 20 ч в неделю (0,5 ставки). Основные задачи:   Разработка frontend и backend web-приложения для промышленных предприятий;   Написание unit-тестов;   Проектирование ПО;   Участие в удаленном разверывании проектов.   Требования:  Высшее техническое образование (возможно студенты старших курсов); Опыт разработки на Java (Spring boot) \ JavaScript (JQuery, Knockout) Знание языка SQL и опыт работы с СУБД  Условия:  Срочный трудовой договор на период реализации проекта (1 год) с возможностью пролонгации; Удаленный характер работы. ";"  Срочный трудовой договор на период реализации проекта (1 год) с возможностью пролонгации; Удаленный характер работы. ";Высшее техническое образование (возможно студенты старших курсов). Опыт разработки на Java (Spring boot) \ JavaScript (JQuery, Knockout). Знание языка SQL и...;Разработка frontend и backend web-приложения для промышленных предприятий. Написание unit-тестов. Проектирование ПО. Участие в удаленном разверывании проектов.;"JavaScript; Java; SQL; Java SE; СУБД"
60;Java-разработчик;Тюмень;120000.0;;ХОСТ, Группа компаний;2019-11-19T16:17:29+0300;1;3;Полный день;Полная занятость;"Приглашаем опытного java-разработчика в нашу Команду. Группа Компаний ХОСТ входит в ТОП-100 крупнейших IT-компаний России. Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем для автоматизации процессов в области здравоохранения и предоставления услуг населению. Продукты:  интеграционная шина система сбора отчетности региональная информационно-аналитическая система автоматизация административных регламентов.  Задачи:  разработка веб-сервисов; разработка микросервисов; разработка веб-приложений.  Требования к технологическому стеку:  языки программирования: Java 8 EE, SQL, XML; базы данных: Oracle, MS SQL, PostgreSQL; ORM – Hibernate; фреймворки – Spring, Maven, ZK; контейнер для запуска веб-приложений – Apache Tomcat; система контроля версий - Git.  Мы предлагаем:  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчики, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";"  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчики, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";Языки программирования: Java 8 EE, SQL, XML. Базы данных: Oracle, MS SQL, PostgreSQL.;Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем для автоматизации процессов в области...;
