;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
17;Программист Delphi;Москва;110000.0;130000.0;МЦ-Сервис Инжиниринг;2019-11-20T18:08:11+0300;3;6;Полный день;Полная занятость;"Компания - разработчик программного обеспечения для ж.д. перевозчиков приглашает Программиста.Обязанности:  Разработка нового и доработка существующего программного обеспечения. Программирование в Delphi c использованием БД Oracle.  Требования:  Знание и опыт программирования в Delphi. Опыт работы с реляционными БД. Приветствуется знание PL/SQL, опыт работы с БД Oracle, знание железнодорожной тематики. Коммуникабельность, умение работать в команде.  Условия:  Официальное трудоустройство; Стабильная белая зарплата; Удобно расположенный офис (8-10 минут пешком от ст. м. Красносельская); График работы: 5/2, с 9 до 18 (с возможностью сдвинуть рабочее время +/- 1 час); Дружный коллектив, обмен мнениями и опытом; Чай, кофе, печенье и фрукты в неограниченном количестве на собственной кухне; Испытательный срок до трех месяцев;  На собеседовании проводится тестирование.";"  Официальное трудоустройство; Стабильная белая зарплата; Удобно расположенный офис (8-10 минут пешком от ст. м. Красносельская); График работы: 5/2, с 9 до 18 (с возможностью сдвинуть рабочее время +/- 1 час); Дружный коллектив, обмен мнениями и опытом; Чай, кофе, печенье и фрукты в неограниченном количестве на собственной кухне; Испытательный срок до трех месяцев;  На собеседовании проводится тестирование.";Знание и опыт программирования в Delphi. Опыт работы с реляционными БД. Приветствуется знание PL/SQL, опыт работы с БД Oracle...;Разработка нового и доработка существующего программного обеспечения. Программирование в Delphi c использованием БД Oracle.;
4;Программист Delphi;Санкт-Петербург;60000.0;120000.0;БиАйВи;2019-11-20T16:09:39+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. Основные клиенты: НПФ Сбербанк, СК Согласие, СК Согласие-вита, СК Альянс (бывшая РОСНО), СК CIV-LIFE, СК ВСК; Задачи разного уровня сложности, преимущественно связанные со страховым, налоговым и бухгалтерским учетом, внутренним документооборотом компаний, поддержкой внутренних бизнес-процессов, интеграции разнородных систем; Разработка Back решений;  Требования:  Знание SQL (ORACLE, MS SQL Server); Опыт работы на любом языке разработки высокого уровня (Delphi, С++, .Net, Java); Желателен опыт разработки корпоративного программного обеспечения; Умение работать с чужим кодом, грамотно его комментировать; Высокая стрессоустойчивость и способность к высоким нагрузкам;  Приветствуется:  Опыт работы с системами контроля версий (VSS, Mercurial и т.п.) Опыт работы с баг-трекерами (Redmine, Jira и т.п.) Знания в области интеграции различных систем, электронного обмена данными между приложениями Опыт работы с программами по ведению бухгалтерской и финансовой отчетности  Для нас важны такие качества как:  Умение планировать время и оценивать свои силы на поставленные задачи; Умение работать в команде ( в том числе удаленно); Ответственность; Нацеленность на результат; Желание постоянно расти и развиваться, используя современные технологии.  Условия:  Комфортный офис в центре города, оборудованный кухней; Возможность профессионального роста; Дружный и профессиональный коллектив; Оформление по ТК РФ; Полностью белая заработная плата. ";"  Комфортный офис в центре города, оборудованный кухней; Возможность профессионального роста; Дружный и профессиональный коллектив; Оформление по ТК РФ; Полностью белая заработная плата. ";Знание SQL (ORACLE, MS SQL Server). Опыт работы на любом языке разработки высокого уровня (Delphi, С++, .Net, Java). ;"Разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. Основные клиенты: НПФ &quot;Сбербанк&quot;, СК &quot;Согласие&quot;, СК...";"Delphi; ORACLE; MS SQL; Diasoft"
7;Программист Delphi;Санкт-Петербург;55000.0;90000.0;Бизнес Технологии;2019-11-20T16:09:09+0300;3;6;Удаленная работа;Полная занятость;Приглашает к сотрудничеству в команду которая занимается созданием инструмента для разработчиков бизнес-приложений: десктопного клиентского приложения ERP системы Global. Клиентское приложение является графическим фреймворком позволяющим создавать и отображать бизнес-приложения ERP-системы. Фреймворк предоставляет набор высокоуровневых графических примитивов (фреймы-компоновщики, гриды, деревья, контролы, графики, график ганта, олап, CAD и многие другие), средства выполнения dsl и отладки, разнообразный API и мета-модель процессов бизнес-приложений.Обязанности:  Разработка десктопной части и фреймворка ERP системы Глобал Реализация нового функционала, исправление ошибок Написание модульных тестов  Требования:  Знание одного из объектно-ориентированных языков Уверенное знание ООП Алгоритмическая подготовка Вы можете ответить на вопросы: что такое указатель? и чем отличается массив от списка?  Приветствуется:  Опыт создания визуальных и не визуальных компонентов Опыт работы с реляционными СУБД Знание UML и методологий разработки ПО Любые знания из сферы IT и Computer Science  Условия:  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;  Мы пишем модульные и интеграционные тесты, проводим ревью кода, используем гибкую методологию разработки, выполняем непрерывную сборку проекта, используем Git, UML. Для создания приложения используем сторонние компоненты ODAC, DevExpress, TMS Scripter, Fast Report, Python, CEF(Chronium) и др. Постоянно совершенствуем методологии разработки и повышаем свою эффективность. По договоренности гибкий график Обширные возможности для профессионального роста Впоследствии возможен переход в проект на Java Конкурентная заработная плата, премии. Заработная плата определяется по результатам собеседования. Оформление по ТК, белая ЗП. ;Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Приветствуется: Опыт создания визуальных и не визуальных компонентов. Опыт работы с...;Разработка десктопной части и фреймворка ERP системы Глобал. Реализация нового функционала, исправление ошибок. Написание модульных тестов. Алгоритмическая подготовка.;
