;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
49;Backend-разработчик;Тюмень;50000.0;75000.0;АРКОНС ГРУПП;2019-11-19T11:01:43+0300;1;3;Полный день;Полная занятость;"Приглашаем в наш молодой коллектив талантливого и опытного PHP-разработчика. Мы ищем ответственного специалиста, который работает на результат, а не просто отсиживается в офисе. Проекты компании растут, ты будешь работать c текущими и новыми:  Два сайта компании, которые входят в ТОП-10 по России. Развитие и доработка корпоративной CRM-системы. Участие в крупных российских и международных проектах.  Твою работу будет видеть вся страна и не только! От тебя мы ждем: - опыт разработки на php 7 (понимание основных паттернов проектирования и применение их на практике);- опыт работы с SOAP и REST запросами- опыт интеграции со сторонними сервисами через API- умение работать с пакетными менеджерами composer- знание и опыт работы с SQL базами данных – join’ы, понимать принцип работы индексов, уметь оптимизировать запросы;- опыт работы с GIT (если что – научим)- знание и опыт верстки HTML5 / CSS3 (LESS/SASS)- знание и опыт работы с Bootstrap 4 / JavaScript (jQuery) Работая с нами, ты получишь:  Официальное оформление в штат молодой, но стабильной компании (на рынке с 2014 г.). Интересные проекты в высокоприбыльных сферах. Условия для профессионального и финансового роста. Отличную работу мы поощряем обучением за счет компании. Оплачиваем результаты, а не просто время, проведенное в офисе (по системе KPI). Современный офис в деловом центре города и комфортабельное рабочее место с шустрым компьютером. Гибкий график, который можно скорректировать, сместить обед и даже при необходимости поработать из дома.   ";;Твою работу будет видеть вся страна и не только! - опыт разработки на php 7 (понимание основных паттернов проектирования и применение...;Развитие и доработка корпоративной CRM-системы.;"JavaScript; jQuery; Less; HTML5; CSS3"
85;Backend-разработчик;Тюмень;45700.0;;ГАУ ТО МФЦ;2019-11-18T08:43:56+0300;1;3;Полный день;Полная занятость;"Требования:  Высшее образование в сфере информационных технологий; Опыт работы по специальности от 1 года; Знание одного из языков программирования: функциональные языки программирования, Java, Kotlin, C, C++, C#, Scala, Python; Навыки работы с базами данных. Знание SQL; Опыт работы с системами контроля версий (желательно Gitlab); Понимание принципов Agile, Scrum, TDD; Желание работать в команде и осваивать новые технологии.  Обязанности:  Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.  Условия:   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";"   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";Высшее образование в сфере информационных технологий. Опыт работы по специальности от 1 года. Знание одного из языков программирования: функциональные языки...;Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.;"Java; Linux"
14;Backend-разработчик;Тюмень;100000.0;;ТюмБИТ-АСУ;2019-11-18T17:15:50+0300;1;3;Удаленная работа;Полная занятость;Наш проект упрощает жизнь родителей, с помощью нашей системы можно управлять и контролировать питание детей в школе, производить оплату любым удобным способом, в том числе с использованием мобильных приложений. Нашей системой пользуются более 200 000 человек. Система активно развивается и продвигается на федеральном уровне. Ты будешь работать в слаженной команде с быстрыми коммуникациями и быстрым принятием решений. Основная работа - создание новых фич, оптимизация системы, исправление багов и настройка интеграции со сторонними сервисами. Навыки, которые мы от тебя ожидаем:  Опыт работы с .NET Core 2.2 WebAPI, C#, PostgreSQL GIT понимание асинхронности, многопоточности, сетевого взаимодействия, проблем, связанных с этим стремление писать чистый и оптимизированный код  Будет плюсом, если есть опыт в:  Linux и devOps  Оплата почасовая, загрузка в неделю минимум 35 часов. В нашей компании ты сможешь расти как разработчик, как devOps (если интересно). Формат работы: в офисе и/или на удаленке (в т.ч. из другого города без релокации). В офисе предоставим современный компьютер Core i7, 16 Гб, SSD+HDD, 2 монитора.    ;;Опыт работы с .NET Core 2.2 WebAPI, C#, PostgreSQL. GIT. Понимание асинхронности, многопоточности, сетевого взаимодействия, проблем, связанных с этим. ;Ты будешь работать в слаженной команде с быстрыми коммуникациями и быстрым принятием решений. Основная работа - создание новых фич, оптимизация системы...;".NET Core 2.2; WebAPI; C#; PostgreSQL"
