;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
50;Frontend-разработчик;Екатеринбург;90000.0;150000.0;Экстенсив;2019-11-18T06:08:11+0300;1;3;Гибкий график;Полная занятость;"Компания Xtensive ищет опытных и талантливых .Net разработчиков в проект ServiceTitan. Немного о проекте и о нас Компания Xtensive уже много лет сотрудничает с компанией ServiceTitan, работая над одноимённым проектом. С каждым годом наше сотрудничество только укрепляется и расширяется, поэтому работая у нас вы в полной мере сможете увидеть и ощутить, каково это создавать продукт, который делает жизнь сотен тысяч людей проще и комфортнее. Работать у нас Интересно   Мы используем самые современные технологии, фреймворки, инструменты и методологии разработки.   Мы любим, хотим и умеем развиваться. Если появляется технология, которая по объективным показателям превосходит то, что у нас используется сейчас, то мы её внедряем. То же самое касается и процессов разработки.   Быстрый рост проекта, а также его размер на данный момент, гарантирует наличие огромного количества сложных и интересных задач. Вам точно не придётся скучать без дела и придумывать себе работу.   Мы умеем слушать и слышать всех участников проекта, вне зависимости от его роли. Каждый может предложить, обосновать и “продать” идею, мысль, процесс, которые будут использованы в масштабе всей большой компании.   Большое количество разноплановых задач, команд и отделов позволяют находить место, где интересно работать именно Вам. Разнообразие задач велико и включает в себя работу над понятным, красивым и удобным пользовательским интерфейсом, сложной и запутанной бизнес-логикой, продумывание архитектуры отдельных компонентов и больших подсистем, настройка и поддержка сложной облачной архитектуры и сервисов, интеграция с разнообразными сторонними сервисами и инструментами, искусственный интеллект и машинное обучение, обработка сложных данных и многое другое.   Мы поощряем стремление развиваться. Если вы хотите “просто делать свою работу”, то наверное, нам не по пути. Проект и компания растут очень быстро, и каждый участник должен двигаться вперёд вместе с ними. Компания поддерживает развитие и готова помогать работнику в его стремлении расти и совершенствоваться. Если вы видите, что на текущем месте ваш рост как профессионала остановился, то просто скажите об этом нам и мы вместе найдём решение.   Работать у нас Удобно   Действительно гибкий рабочий график. Только команда решает, когда и в каком режиме они работают наиболее эффективно. Нам важен результат, а не время, когда вы приходите в офис или открываете ноутбук.   Возможность частичной или полностью удалённой работы. Удалённым работникам мы также можем предложить посетить наш офис в Екатеринбурге для обмена опытом.   Для работающих в офисе у нас созданы комфортные условия, которые удовлетворяют всем современным требованиям. Можно было бы написать про печеньки, теннисный стол, PS, и, конечно, мощные рабочие станции, но мы не будем так банальны. Хотя, всё же написали.   Работа у нас открывает Новые Перспективы   Работая у нас, у вас появляется возможность периодически посещать главный офис компании ServiceTitan в Лос-Анджелесе, США, в рамках командировок. В ходе поездки вы увидите, как работают передовые технологические компании, сможете обсудить любые рабочие вопросы и проекты, а также обменяться опытом и научиться чему-то новому у коллег и сами чему-то их научить.   Если вы действительно ценный специалист и не против значительных перемен в своей жизни ради открытия новых перспектив, мы можем предложить вам возможность оформления рабочей визы в США. Каждый случай рассматривается отдельно, но это не пустые слова, а вполне реальная возможность.   Работать у нас Выгодно   Мы готовы предложить вам трудоустройство в полном соответствии с ТК РФ, полностью официальной заработной платой и полным социальным пакетом.   Конкурентная заработная плата, которая обсуждается по результатам собеседования. Вилка очень гибкая и конкретная цифра зависит лишь от того, как вы себя проявите. Примерный ориентир это 90-150 т.р. в месяц “на руки”.     Требования:  Знание HTML 4/5, XML, CSS 2/3, JavaSript, jQuery, AJAX; знание Angular.js - плюс; Система контроля версий; Знакомство c ASP.NET; Желательно знание английского хотя бы на уровне уверенного чтения; Любые иные позитивные сигналы (участие в проектах с открытым исходным кодом, призовые места на конкурсах и олимпиадах) - так же огромный плюс.    Минимальные требования:  Высшее или незаконченное высшее техническое образование; Английский язык - уверенное чтение; Знание классических алгоритмов и структур данных, умение их использовать.     ";;"Знание HTML 4/5, XML, CSS 2/3, JavaSript, jQuery, AJAX; знание Angular.js - плюс. Система контроля версий. Знакомство c ASP.NET. ";Любые иные позитивные сигналы (участие в проектах с открытым исходным кодом, призовые места на конкурсах и олимпиадах) - так же огромный...;
13;Frontend-разработчик;Тюмень;40000.0;100000.0;CDS Company;2019-11-18T14:16:42+0300;1;3;Полный день;Полная занятость;"CDS Company - студия веб-разработок.Мы специализируемся на разработке крупных проектов, регионального и федерального уровня.Мы разрабатываем высоконагруженные интернет-магазины, CRM-системы для различных предприятий, профессиональные корпоративные порталы, модернизируем порталы СМИ и много других сложных, нетривиальных проектов. В разработке мы используем передовые технологии и крутые решения технического характера. В разработке используем нашу внутреннюю CRM систему для оптимизации внутренних бизнес-процессов. На сегодняшний день разработано и запущено свыше 50 проектов и находится более 100 сайтов на технической поддержке. На текущий момент набираем команду программистов для развития своих кодерских навыков и для разработки крутых проектов в связи с расширением штата и увеличением объема работ. Есть team-lead, наставник, который справится с любой задачей и любым вопросом. Обязанности: - Верстка проектов с нуля по дизайн-макетам PSD;- Доработки верстки существующих проектов;- Адаптация макетов под мобильные устройства;- Написание JS-скриптов на базе jQuery;- Оптимизация работы HTML/CSS/JS для ускорения работы сайтов; Требования: - Базовые знания web-разработки;- Знание JavaScript, JQuery;- Знание HTML5;- Знание CSS3.0;- Знание SASS;- Сборка на базе Node.js c таск-менеджером Gulp;- Знание Pug/Jade;- Базовые знания JavaScript, jQuery;- Пунктуальность;- Ответственность;- Не бояться учиться чему-то новому; Условия: - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство минимум после 2 месяцев испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- Корпоративное жилье для иногородних;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";" - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство минимум после 2 месяцев испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- Корпоративное жилье для иногородних;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";Базовые знания web-разработки. - Знание JavaScript, JQuery. - Знание HTML5. - Знание CSS3.0. - Знание SASS. - Знание Pug/Jade. - ;Верстка проектов с нуля по дизайн-макетам PSD. - Доработки верстки существующих проектов. - Адаптация макетов под мобильные устройства. - Написание JS-скриптов...;"PHP; jQuery; CSS3; 1С-Битрикс; CSS; ООП; MySQL; CMS Wordpress; HTML; HTML5; JavaScript; Ajax"
97;Frontend-разработчик;Новосибирск;90000.0;;Dialog;2019-11-19T09:09:34+0300;1;3;Полный день;Полная занятость;"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его.В нашу быстро растущую команду требуется Frontend-разработчик ля разработки клиентской части месседжинг платформы. Обязанности:  разработка клиентских модулей веб-платформы; автоматизация тестирования клиентских модулей веб-платформы; оценка трудоёмкости и сроков выполнения задач; доведение ⁣⁣результатов разработки до внедрения.  Требования:  уверенные знания JavaScript; опыт разработки SPA приложений; опыт работы с Flow или TypeScript; опыт работы с React/Redux; опыт работы с RxJS; опыт создания юнит и интеграционных тестов.  Будет плюсом:  опыт работы с Electron, Node.js; опыт работы с VoIP, WebRTC; опыт работы со сборщиками проектов (webpack, parcel, gulp); опыт адаптивной и кросс-браузерной вёрстки.  Условия:  белая зарплата и гибкий график; персональные снэки, а не просто печеньки (А что вы любите больше Нутеллу или протеиновые батончики?) ДМС со стоматологией (после прохождения испытательного срока); техника Apple для работы; релокационный пакет для иногородних; офис в Технопарке Академгородка или в центре города, на выбор; корпоративные уроки английского языка для всех сотрудников; супер-адекватная и профессиональная команда. ";"  белая зарплата и гибкий график; персональные снэки, а не просто печеньки (А что вы любите больше Нутеллу или протеиновые батончики?) ДМС со стоматологией (после прохождения испытательного срока); техника Apple для работы; релокационный пакет для иногородних; офис в Технопарке Академгородка или в центре города, на выбор; корпоративные уроки английского языка для всех сотрудников; супер-адекватная и профессиональная команда. ";Уверенные знания JavaScript. Опыт разработки SPA приложений. Опыт работы с Flow или TypeScript. Опыт работы с React/Redux. ;Разработка клиентских модулей веб-платформы. Автоматизация тестирования клиентских модулей веб-платформы. Оценка трудоёмкости и сроков выполнения задач. Доведение ⁣⁣результатов разработки...;
54;Frontend-разработчик;Екатеринбург;;;JetStyle;2019-11-20T15:04:21+0300;1;3;Полный день;Полная занятость;"В связи с увеличением количества задач, мы вновь в поиске хорошего специалиста! Что предстоит делать?  Работать над клиентскими проектами, в том числе их мобильными версиями; превращать в реальность задумки дизайнеров; писать на react; работать с API (RESTful и GraphQL).  Требования:  умение отлично верстать; умение обращаться со всем зоопарком браузеров; хорошие знания и навыки работы с git; знание JavaScript; умение писать реиспользуемый код; хороший опыт работы с react.js, next.js, redux, react-router и экосистемы react; работа со сборщиками (мы используем webpack); плюс нужно любить то, чем вы занимаетесь))  Плюсами будут:  хорошие понимание restful-протокола; знание других mvvm-фреймворков; желание или опыт работы над мобильными предложениями (react-native); знание больше одного языка программирования;  Взамен:  обеспечим полную занятость, много интересных задач, профессиональную команду; уровень заработной платы обсуждается по результатам собеседования – все зависит только от вас! официальное трудоустройство; офис в центре города — БЦ Высоцкий и отличный вид с 29 этажа; всякие плюшки   ";;Умение отлично верстать. Умение обращаться со всем зоопарком браузеров. Хорошие знания и навыки работы с git. Знание JavaScript. ;Работать над клиентскими проектами, в том числе их мобильными версиями. Превращать в реальность задумки дизайнеров. Писать на react. ;
