;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
28;Веб-программист;Москва;80000.0;140000.0;ТЕХНОЛОГИИ БУДУЩЕГО;2019-11-20T12:53:25+0300;1;3;Полный день;Полная занятость;Ведущая производственная IT-компания, занимающаяся разработкой и внедрением программно-аппаратных комплексов для государственных и коммерческих структур приглашает в свою команду живых талантливых и амбициозных специалистов.   Обязанности:  Разработка новых веб-приложений (Frontend), взаимодействующих с сервером, написанном на Delphi. Развитие и поддержка существующих веб-приложений, взаимодействующих с программными продуктами и БД компании. Анализ возникающих ошибок в программах и поиск решений. Консультирование специалистов службы сопровождения и заказчиков в вопросах установки, настройки и эксплуатации разработанных программных продуктов.    Требования:  Высшее образование. Опыт веб-программирования от 2 лет. Знания HTML, CSS, JavaScript, TypeScript, PHP, MySQL, MS SQL, SQL-запросов. Опыт разработки клиент-серверных, многопоточных приложений. Умение создавать чистый и надежный код. Умение проектировать архитектуру функциональных приложений с учетом требований по быстродействию. Владение отладочными инструментами. Владение Windows и Linux на уровне опытного пользователя. Умение работать с чужим кодом. Владение английским языком на уровне чтения технической литературы по профилю. Конструктивное аналитическое мышление и внимание к деталям. Готовность самостоятельно обучаться. Умение планировать работу и расставлять приоритеты. Трудолюбие, нацеленность на результат, практичность в написании кода. Умение работать в команде, повышенная работоспособность и стрессоустойчивость. Приветствуется ведение здорового образа жизни. Внимание! Рассматриваются только кандидаты для работы в офисе на полную занятость.    Условия:  Работа в компании с многолетним опытом, занимающей лидирующую позицию на рынке систем управления потоками. График работы 5/2 (с возможностью выбора удобного времени начала рабочего дня). Достойный уровень заработной платы по результатам собеседования. Месторасположение офиса – м. Рязанский пр-т. Оформление в соответствии с ТК РФ. Постоянная работа на территории работодателя. Полная занятость. Молодой дружный коллектив, Кофе/чай в офисе. Интересные проекты и возможность профессионального роста.    К резюме обязательно должны быть прикреплены исходные тексты на PHP, JavaScript, HTML, CSS. Плюсом будут скрины сайтов или HTML страницы, которые можно посмотреть.;  Работа в компании с многолетним опытом, занимающей лидирующую позицию на рынке систем управления потоками. График работы 5/2 (с возможностью выбора удобного времени начала рабочего дня). Достойный уровень заработной платы по результатам собеседования. Месторасположение офиса – м. Рязанский пр-т. Оформление в соответствии с ТК РФ. Постоянная работа на территории работодателя. Полная занятость. Молодой дружный коллектив, Кофе/чай в офисе. Интересные проекты и возможность профессионального роста.    К резюме обязательно должны быть прикреплены исходные тексты на PHP, JavaScript, HTML, CSS. Плюсом будут скрины сайтов или HTML страницы, которые можно посмотреть.;Высшее образование. Опыт веб-программирования от 2 лет. Знания HTML, CSS, JavaScript, TypeScript, PHP, MySQL, MS SQL, SQL-запросов. ;Разработка новых веб-приложений (Frontend), взаимодействующих с сервером, написанном на Delphi. Развитие и поддержка существующих веб-приложений, взаимодействующих с программными...;"Веб-программирование; HTML; JavaScript; CSS; MySQL; PHP; SQL; MS SQL; Разработка ПО; Linux"
73;Веб-программист;Тюмень;50000.0;;РУСОЙЛ;2019-11-18T15:17:03+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка, внедрение, поддержка сайтов компании и корпоративного портала под управлением CMS 1С-Битрикс.  Требования:  Уверенные знания: PHP‚ MySQL;  Основные знания по разработке сайтов: HTML‚ CSS‚ JavaScript‚ Ajax‚ XML,; Опыт разработки и внедрения проектов под управлением CMS 1С-Битрикс; Приветствуется: уверенная работа в пакете графических программ, наличие выполненных проектов‚ знание CMS 1С-Битрикс,WordPress и других систем управления сайтами‚ знание *nix приветствуется; Опыт интеграции продуктов 1С-Битрикс с конфигурациями «1С:Предприятие 8».    Условия:  5-ти дневный график работы, 08.30 - 17.30; Официальное трудоустройство; Молодой и дружный коллектив; ";"  5-ти дневный график работы, 08.30 - 17.30; Официальное трудоустройство; Молодой и дружный коллектив; ";Уверенные знания: PHP‚ MySQL. Основные знания по разработке сайтов: HTML‚ CSS‚ JavaScript‚ Ajax‚ XML,. Опыт разработки и внедрения проектов под...;Разработка, внедрение, поддержка сайтов компании и корпоративного портала под управлением CMS 1С-Битрикс.;
58;Веб-программист;Санкт-Петербург;;;ОРИМИ ТРЭЙД;2019-11-20T17:39:17+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка (front-end и back-end) новой функциональности веб-приложений (в том числе Аналитической системы); Поддержка работоспособности и модернизация существующих веб-приложений (в том числе Аналитической системы);  Требования:  Высшее техническое образование; Опыт разработки от 2-х лет (обязательно наличие портфолио); Уверенное знание PHP 5.6 и выше; Опыт работы с MS SQL Server 2012 и выше (запросы‚ хранимые процедуры); Уверенное знание FreeBSD/Linux для настройки и поддержки рабочего окружения; Уверенное знание JavaScript; Опыт работы с Sencha 4+; Опыт работы с React.js; Опыт разработки SPA; Знание сопутствующих технологий – npm, git, webpack, HTML, CSS и препроцессоры. Опыт работы с Node.js (будет дополнительным плюсом).  Условия:  Место работы: ст. метро «Выборгская». Режим работы: понедельник-пятница, с 9:00 до 18:00. Оформление по ТК РФ, корпоративный социальный пакет. ";  Место работы: ст. метро «Выборгская». Режим работы: понедельник-пятница, с 9:00 до 18:00. Оформление по ТК РФ, корпоративный социальный пакет. ;Высшее техническое образование. Опыт разработки от 2-х лет (обязательно наличие портфолио). Уверенное знание PHP 5.6 и выше. ;Разработка (front-end и back-end) новой функциональности веб-приложений (в том числе Аналитической системы). Поддержка работоспособности и модернизация существующих...;
38;Веб-программист;Новосибирск;;;Резиновая подкова;2019-11-20T05:12:13+0300;3;6;Полный день;Полная занятость;Компания Резиновая подкова на рынке уже больше 20 лет. Мы занимаем лидирующие позиции в Сибири, а по некоторым направлениям и в России. Но - совершенству нет предела :) Мы продолжаем развиваться и расти, как качественно (улучшаем стандарты работы с клиентами), так и количественно (открываем новые Торгово-сервисные центры, берем новые дилерские контракты и т.д. и т.п.). И сейчас одна из задач Компании - развитие сайта как инструмента продаж и взаимодействия с клиентами. Поэтому нам нужен веб-разработчик. Какие основные задачи будут поставлены: - обеспечение и контроль быстродействия работы сайта на всех устройствах (в веб и мобильной версии) - обеспечение корректной интеграции сайта с 1С и CRM системой - разработка и корректировка действующего функционала сайта, дополнение и развитие функциональных блоков, фильтров, поисков, работы корзины - контроль корректности отображения и актуальности контента на сайте - настройка и корректная работа всех метрик, веб-аналитики - организация работы с подрядчиками и фрилансерами Мы предлагаем: - официальное трудоустройство и достойный уровень оплаты - рабочее место в Калининском районе, полный рабочий день Отправляйте свое резюме, задавайте вопросы и приходите на собеседование!  ; - официальное трудоустройство и достойный уровень оплаты - рабочее место в Калининском районе, полный рабочий день Отправляйте свое резюме, задавайте вопросы и приходите на собеседование!  ;;обеспечение и контроль быстродействия работы сайта на всех устройствах (в веб и мобильной версии). - обеспечение корректной интеграции сайта с 1...;1С-Битрикс
46;Веб-программист;Новосибирск;;;Дата Ист;2019-11-18T05:54:43+0300;1;3;Полный день;Полная занятость;"  Мы реализуем высокотехнологичные проекты в сфере геоинформационных систем - от мобильных картографических приложений до систем управления геоданными на корпоративном уровне. Программные продукты, информационные системы и решения нашей компании применяются в управлении территориями и природными ресурсами, геологии и геофизике, добыче нефти и газа, управлении городским хозяйством, земельном кадастре, транспортной логистике, в сельском и лесном хозяйстве и многих других сферах деятельности.   Обязанности  разработка статических и динамических веб-приложений на JS/HTML5/CSS3 по принципам SPA и CMS с использованием ГИС.    Требования    уверенные знания HTML5 и CSS3, принципы и приемы responsive-верстки; уверенные знания JavaScript; знание одного или нескольких современных JS-фреймворков; английский язык на уровне чтения технической документации (intermediate).    Условия  работа в команде; 8-часовой рабочий день (начало рабочего дня гибкое, до 10:00); испытательный срок - 1 месяц; официальное трудоустройство, льготы и гарантии по трудовому кодексу, «белая» заработная плата; предоставление отпусков в удобное время (28 дней в год); бесплатная медицинская страховка, которая включает ведущие клиники Новосибирска: ЦНМТ, Академмедикал, Медицинский центр им. Е.Н. Мешалкина, НИИТО, а также сеть Дентал Сервис; мощное железо: Intel Core i7, SSD, 16GB RAM; современный софт: в работе используем Visual Studio 2017, GIT для хранения исходного кода, YouTrack для баг-трекинга и билд-сервер с TeamCity для автоматической сборки исходного кода, ОС и office-пакеты последней линейки; компенсация стоимости занятий в бассейне; уютный и просторный офис, удобные кресла, ароматный кофе и многое-многое другое. ";;Уверенные знания HTML5 и CSS3, принципы и приемы responsive-верстки. Уверенные знания JavaScript. Знание одного или нескольких современных...;Разработка статических и динамических веб-приложений на JS/HTML5/CSS3 по принципам SPA и CMS с использованием ГИС.;"HTML5; CSS3; JavaScript; Английский язык"
