;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
12;Web-программист;Санкт-Петербург;100000.0;200000.0;Alloy Software Inc.;2019-11-20T12:56:52+0300;3;6;Удаленная работа;Полная занятость;"Требования: Frontend:  Знание современного JavaScript (ES6+) Знание CSS Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue)  Backend:  Опыт работы с .NET Core или .NET Framework 4+  Будет плюсом:  Опыт работы с JQuery; Опыт работы с extJS; Опыт разработки стилей с использованием LESS или SASS/SCSS;  Обязанности:  Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений Участие в сопровождении приложений и инфрастуктуры разработки Совместная работа с другими группами, участвующими в разработке  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ;Знание современного JavaScript (ES6+). Знание CSS. Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue). ;Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений. Участие в сопровождении приложений и инфрастуктуры разработки. ;.NET Core, Angular
97;Web-программист;Москва;100000.0;150000.0;Карабашева Мадина Борисовна;2019-11-18T15:35:24+0300;1;3;Полный день;Полная занятость;"Обязанности:  дорабатывать и сопровождать существующий сайт на базе платформы React программирование на языках js, php, java, swift отслеживать ошибки и оперативно их исправлять интегрировать сайт с внутренними и внешними информационными системами; разрабатывать новые web-приложения и сервисы; предлагать и внедрять высокотехнологичные,инновационные решения.  Требования:  аналогичный опыт работы  Условия:  интернет-магазин сейчас на м. Новокузнецкая, в декабре переезд на м. Ленинский проспект полный рабочий день на территории работодателя (график обсуждается) точный размер з/п обсуждается на собеседовании с собственником компании ";  интернет-магазин сейчас на м. Новокузнецкая, в декабре переезд на м. Ленинский проспект полный рабочий день на территории работодателя (график обсуждается) точный размер з/п обсуждается на собеседовании с собственником компании ;Аналогичный опыт работы.;Дорабатывать и сопровождать существующий сайт на базе платформы React. Программирование на языках js, php, java, swift. Отслеживать ошибки и оперативно...;"Мобильность; Продажи через интернет; Веб-программирование; JavaScript; PHP; Java"
66;Web-программист;Санкт-Петербург;100000.0;130000.0;БОДИ-Ф;2019-11-18T14:07:04+0300;1;3;Полный день;Полная занятость;В интернет-магазин требуется веб программист со знанием 1С Битрикс для доработки и расширения существующего функционала проекта. Обязанности:  Поддержка и разработка интернет-магазина компании на базе 1С Битрикс  Требования:  Опыт в WEB программировании от 1 года   Обязателен опыт программирования в системе Bitrix (опыт в работе с D7 приветствуется) Высокий уровень знаний в работе с API Bitrix Уверенные знания PHP, HTML, CSS, JS, JQuery, AJAX Опыт работы с GIT Опыт в интеграции интернет-магазинов с 1С и другими сторонними сервисами Опыт реализации и внедрения адаптивной верстки  Будет плюсом:  Высшее профильное образование Наличие сертификатов Битрикс «Профессионал», «Разработчик Framework» В портфолио есть лично написанные модули и компоненты для Bitrix В портфолио есть успешные веб-проекты, в которых вы выступали в качестве разработчика  Условия:  Работа в офисе компании, м.фрунзенская Пятидневка (Пн-Пт) с 10 до 18 часов Оформление согласно ТК РФ (по желанию) Стабильная заработная плата (аванс и расчёт)  Мы заинтересованы в долгосрочном сотрудничестве и готовы рассмотреть кандидатов различного уровня квалификации от Junior до Senior. Будем рады видеть в рядах компании разработчика, желающего развивать свои навыки, осваивать и внедрять новые технологии и расти вместе с нами!;  Работа в офисе компании, м.фрунзенская Пятидневка (Пн-Пт) с 10 до 18 часов Оформление согласно ТК РФ (по желанию) Стабильная заработная плата (аванс и расчёт)  Мы заинтересованы в долгосрочном сотрудничестве и готовы рассмотреть кандидатов различного уровня квалификации от Junior до Senior. Будем рады видеть в рядах компании разработчика, желающего развивать свои навыки, осваивать и внедрять новые технологии и расти вместе с нами!;Высшее профильное образование. Наличие сертификатов Битрикс «Профессионал», «<highlighttext>Разработчик</highlighttext> Framework». В портфолио есть лично написанные модули и компоненты для Bitrix. ;Поддержка и разработка интернет-магазина компании на базе 1С Битрикс.;"Git; 1С-Битрикс; Веб-программирование; JavaScript; MySQL; PHP5; PHP; CSS3; HTML5; jQuery; CSS; HTML; Java; Ajax"
49;Web-программист;Москва;;120000.0;ДокЛаб;2019-11-20T15:31:51+0300;3;6;Полный день;Полная занятость;"“ДокЛаб” -  российская компания, ведущий разработчик программного обеспечения для автоматизации работы с юридическими документами. Если вы активны, амбициозны и продуктивны, мы будем рады видеть вас в составе нашей команды. Требования:   HTML5‚ CSS (3.0), JavaScript, php;   SVN или Git   опыт работы в аналогичной области не менее 3 лет;   знакомство с CMS (Bitrix) приветствуется;   знание английского (технического) обязательно;   ответственность‚ нацеленность на результат‚ умение укладываться в сроки.   Желательно   знание Node.js, Google Closure Library.   Обязанности:   frontend разработка;   backend разработка;   создание справочных документов по разработанному коду.   Условия:  40-часовая рабочая неделя; оформление по ТК, полный социальный пакет; испытательный срок 3 месяца. ";"  40-часовая рабочая неделя; оформление по ТК, полный социальный пакет; испытательный срок 3 месяца. ";HTML5‚ CSS (3.0), JavaScript, php. SVN или Git. Опыт работы в аналогичной области не менее 3 лет. ;Frontend разработка. Backend разработка. Создание справочных документов по разработанному коду.;
2;Web-программист;Новосибирск;5000.0;100000.0;ВЦ Техновик;2019-11-20T11:24:22+0300;1;3;Полный день;Полная занятость;Обязанности: Разработка WEB-приложений Требования: PHP, JS, HTML, CSS, MYSQL Условия: ​​​​​​​Оплата по тарифу. Обсуждаем оклад. Возможна как постоянная работа, так и совместительство или подработка. Работа в дистанционном режиме (место Вашего проживания не имеет значения).; ​​​​​​​Оплата по тарифу. Обсуждаем оклад. Возможна как постоянная работа, так и совместительство или подработка. Работа в дистанционном режиме (место Вашего проживания не имеет значения).;PHP, JS, HTML, CSS, MYSQL.;Разработка WEB-приложений.;"MySQL; CSS; HTML; PHP; PHP5; JavaScript"
56;Web-программист;Санкт-Петербург;40000.0;90000.0;E-MOTION;2019-11-19T19:20:11+0300;1;3;Полный день;Полная занятость;О команде и компании: Не удаленная работа. Ищем талантливого, опытного web-программиста. Участие в программировании разной сложности - от простых решений до крупных систем - станет частью вашей жизни. Вы будете иметь реальную возможность проходить обучение в лучших центрах повышения квалификации за счет компании!Над чем предстоит работать:  создание сайтов и web-приложений по готовым дизайн-макетам, работа с различными CMS и Framework.  Навыки, которые мы ждем от кандидата:  уверенное знание популярных web-технологий (PHP, MySQL, HTML5, CSS3, Javascript/jQuery), понимание общих принципов программирования и проработки архитектуры web-приложения.  Мы предлагаем:  реальную возможность профессионального карьерного роста до руководителя отдела/направления, работу по стабильному графику 5/2 конкурентоспособную оплату труда от 60 000 рублей (fix+ премии по результатам закрытых проектов) разработку индивидуальной системы мотивации, которая подходит именно Вам, круг единомышленников и, если хотите, друзей среди коллег, с которыми всегда можно поделиться своими идеями и мыслями, постоянное обучение за счет компании, современный уютный офис в 10 минутах от метро Фрунзенская. ;  реальную возможность профессионального карьерного роста до руководителя отдела/направления, работу по стабильному графику 5/2 конкурентоспособную оплату труда от 60 000 рублей (fix+ премии по результатам закрытых проектов) разработку индивидуальной системы мотивации, которая подходит именно Вам, круг единомышленников и, если хотите, друзей среди коллег, с которыми всегда можно поделиться своими идеями и мыслями, постоянное обучение за счет компании, современный уютный офис в 10 минутах от метро Фрунзенская. ;Уверенное знание популярных web-технологий (PHP, MySQL, HTML5, CSS3, Javascript/jQuery). Понимание общих принципов программирования и проработки архитектуры...;Создание сайтов и web-приложений по готовым дизайн-макетам. Работа с различными CMS и Framework.;"PHP; HTML; CSS3; 1С-Битрикс; MySQL; HTML5; Joomla CMS; XML"
26;Web-программист;Екатеринбург;50000.0;;К Телеком,ООО;2019-11-18T08:27:42+0300;1;3;Полный день;Полная занятость;"Мы еще не знакомы? Тогда немного о нашей Компании… Компания «К Телеком» на телекоммуникационном рынке уже более 10 лет, мы предоставляем свои услуги в более чем 80-ти городах Свердловской, Челябинской областях и Пермском крае. Более 90 000 абонентов пользуются нашими услугами, более 500 сотрудников работают в нашей Компании. Какие услуги предоставляет наша Компания?  высокоскоростной безлимитный интернет; местная, внутризоновая, междугородная и международная телефонная связь; виртуальная АТС; организация виртуальных частей сетей (VPN); Wi-Fi Hot Spot; «умное» видеонаблюдение; программное обеспечение: Облачная 1С, антивирус; Co-location (размещение оборудования).  Что мы ждем от кандидата?  Если ты хорошо знаком с Wordpress: опыт разработки тем, знание стандартов разработки под WP Если тебе известны такие языки, как PHP, HTML, CSS, JS Если тебя не пугает работа с git Если ты нацелен на результат и ты желаешь развиваться,  тогда ТЫ точно подходишь НАМ! Чем Ты будешь заниматься? Твоими основными продуктами деятельности станут - сайты Компании, Тебе предстоит:  Производить верстку лендингов по готовому дизайну Заниматься разработкой web-интерфейсов Верстать,учитывая тонкости работы разных браузеров Разрабатывать и дорабатывать функционал web-приложений Компании  а также участвовать в разработке новых проектов Компании Почему именно МЫ? Работая в нашей компании, Ты получаешь  Официальное трудоустройство согласно ТК РФ Официальный и стабильный доход Работу в молодом и дружном коллективе Возможность профессионального и карьерного роста и возможность реализации своих идей  Где Ты будешь работать? В современном комфортабельном офисе в Пионерсоком районе (ост. Современник) Также на территории офиса имеется бесплатная охраняемая парковка  ";;Если ты хорошо знаком с Wordpress: опыт разработки тем, знание стандартов разработки под WP. Если тебе известны такие языки, как...;Высокоскоростной безлимитный интернет. Местная, внутризоновая, междугородная и международная телефонная связь. Виртуальная АТС. Организация виртуальных частей сетей (VPN). Wi-Fi Hot...;"CSS; HTML; Git; Web-дизайн; Web Design; Создание сайтов"
76;Web-программист;Екатеринбург;50000.0;;Практик-Центр;2019-11-15T12:53:36+0300;1;3;Полный день;Полная занятость;"Крупная оптовая торговая компания (электротовары) приглашает web-программиста. Обязанности:  создание web-сайтов, интернет-магазина и т.д.  Требования:  высшее оконченное образование; опыт работы обязателен; знание PHP, Java, mySQL, css; умение ориентироваться в Bitrix и Linux.  Условия:  офис в ДД Демидов, возможна работа home-office; график работы обсуждается индивидуально; зарплата от 50000 руб.; официальное трудоустройство. ";"  офис в ДД Демидов, возможна работа home-office; график работы обсуждается индивидуально; зарплата от 50000 руб.; официальное трудоустройство. ";Высшее оконченное образование. Опыт работы обязателен. Знание PHP, Java, mySQL, css. Умение ориентироваться в Bitrix и Linux.;Создание web-сайтов, интернет-магазина и т.д.;
47;Web-программист;Москва;120000.0;;JCat.ru;2019-11-20T15:24:10+0300;1;3;Полный день;Полная занятость;"Вакансия компании: ООО АВТОЭКСПЕРТАвтоэксперт занимает значимое место в розничных и оптовых продажах на шинном рынке, предлагая взаимовыгодное сотрудничество для корпоративных клиентов, шинных сервисов и интернет-магазинов по всей России.Основные направления компании:-Оптовые продажи автошин и колесных дисков (грузовое и легковое направление).-Работа с корпоративными клиентами.-Розничная сеть.-Интернет-Магазин.Постоянно в наличии на складе широкий ассортимент автошин и колесных дисков для легкового и коммерческого транспорта, грузовиков, автобусов, строительной техники и погрузчиков.В комплексе к грузовым шинам и дискам, представлен грузовой сервис, осуществляющий шиномонтажные работы и мелкий ремонт.Список корпоративных клиентов достаточно велик:нефтяные компании, банки и финансовые группы, различные отечественные и российские производители товаров, сервисные компании, телекоммуникационные компании и гипермаркетыОбязанности:В крупную Российскую компанию (лидер на рынке продаж шин и дисков для автомобилей) требуется Web-программист.  Участие в web-проектах компании в качестве разработчика Участие в доработке и развитии сайта(ов) компании Выполнение внутренних проектов компании по разработке web-приложений Администрирование сайта и web-приложний Интеграция web-приложений с учетными системами 1 Требования к квалификации: Опыт самостоятельной разработки web-приложений, опыт разработки, поддержки интернет-сайтов, корпоративных порталов; Опыт работы с web-сервисами 1С, интеграции web-приложений и 1С; Знание web-технологий и навыки: PHP, jQuery, Smarty, MySQL, API, Html/css/js; Знание CMS 1CBITRIX, WebAsyst приветствуется; Опыт работы с системами контроля версий. Умение разбираться в чужом коде; Навыки построения интерфейсов (понимать, что такое удобно/не удобно, красиво/не красиво); Понимание принципов разработки мобильных приложений желательно; Знание и использование в работе методологии AGILE. Образование: среднее специальноеУсловия работы: Стабильная работа в большой компании, заработная плата в полном объеме 10 и 25 числа каждого месяца без задержек; Место работы - Подольский район, село Сынково; График работы - 5/2, 8.30-17.30; Доставка до места работы корпоративным транспортом из г. Подольск и г. Климовск; Оформление по Трудовому Кодексу РФ (Все социальные гарантии, оплачиваемый отпуск, больничный лист); Корпоративная скидка на продукцию и услуги Компании. Мобильная связь: даПроезд, бензин: да";;Опыт самостоятельной разработки web-приложений, опыт разработки, поддержки интернет-сайтов, корпоративных порталов. Опыт работы с web-сервисами 1С, интеграции...;Участие в web-проектах компании в качестве <highlighttext>разработчика</highlighttext>. Участие в доработке и развитии сайта(ов) компании. Выполнение внутренних проектов компании...;
16;Web-программист;Тюмень;;;Международный институт дополнительного образования;2019-11-18T12:13:30+0300;3;6;Удаленная работа;Полная занятость;Международный институт дополнительного образования в связи с расширением отдела digital-маркетинга приглашает в свою команду программиста. Работа удаленно, но с обязательным посещением офиса 1 раз в неделю (обсуждение задач, оценка результатов). Ключевые задачи:  разработка новых и поддержка существующих проектов на Bitrix, оптимизация сайтов под требования поисковых систем (скорость загрузки, структура и т.д.), верстка сайтов по макетам, участие в проектах по автоматизации бизнес-процессов компании (написание скриптов php),  Для участия в наших проектах Вам потребуется:  Уверенные знания PHP, Опыт написания сложных SQL-запросов, Хорошие знания HTML5, CSS3, JS, Умение работать с чужим кодом, Навыки подключения плагинов, программирования форм, Навыки оптимизации сайтов под требования поисковых систем (скорость загрузки, структура и т.д.), Опыт работы с 1С Bitrix.  Мы предлагаем:  работу по договору ГПХ, интересные задачи и всестороннюю поддержку развития вашего потенциала, уровень оплаты труда обсуждается по итогам личного собеседования (укажите, пожалуйста, желаемый уровень в резюме или сопроводительном письме). ;  работу по договору ГПХ, интересные задачи и всестороннюю поддержку развития вашего потенциала, уровень оплаты труда обсуждается по итогам личного собеседования (укажите, пожалуйста, желаемый уровень в резюме или сопроводительном письме). ;Уверенные знания PHP. Опыт написания сложных SQL-запросов. Хорошие знания HTML5, CSS3, JS. Умение работать с чужим кодом. ;Разработка новых и поддержка существующих проектов на Bitrix. Оптимизация сайтов под требования поисковых систем (скорость загрузки, структура и т.д.). ;"PHP; SQL; HTML5; CSS3"
