;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
46;Программист-разработчик;Москва;;80000.0;ИТЕРАНЕТ;2019-11-20T10:30:15+0300;0;0;Полный день;Полная занятость;Программист-разработчик (возможно, выпускник профильного ВУЗа с минимальным опытом работы) Обязанности:   Сопровождение внедренных решений. Разработка дополнительных модулей. Участие в проектах по внедрению новых решений с участием внешних Подрядчиков. Тестирование решений Документирование. Взаимодействие с пользователями.  Требования:  Готовы принять на работу начинающего специалиста с минимальным опытом. Законченное высшее образование не ниже уровня специалист (техническое, профильное). Возможно, выпускник магистратуры текущего учебного года при возможности работать полный рабочий день. Высокий средний балл по диплому. Можем рассмотреть студента последнего курса магистратуры с условием возможности совмещения работы и учебы. Знание основ программирования. Опыт разработки на любом из языков в рамках учебных курсов (курсовые, диплом) и хотя бы минимальный в профессиональной деятельности. Отсутствие ограничений для оформления допуска к сведениям, составляющим государственную тайну (3, 2 форма). Или наличие допуска соответствующих форм. Креативность, готовность обучаться, ответственность, дисциплинированность.  Условия:  Работа на территории партнера - государственной организации. Территориально - ст. метро Юго-Западная, далее - 15 минут автобусом. Возможность обучения за счет работодателя. Отсрочка от призыва на срочную военную службу для военнообязанных Интересные проекты. График работы: пятидневка. Официальное трудоустройство по ТК Белая заработная плата. Социальный пакет.  Уважаемые соискатели! Если в вашем резюме нет информации о знаниях в области программирования и о среднем балле по диплому, просьба включать эту информацию в сопроводительное письмо.;  Работа на территории партнера - государственной организации. Территориально - ст. метро Юго-Западная, далее - 15 минут автобусом. Возможность обучения за счет работодателя. Отсрочка от призыва на срочную военную службу для военнообязанных Интересные проекты. График работы: пятидневка. Официальное трудоустройство по ТК Белая заработная плата. Социальный пакет.  Уважаемые соискатели! Если в вашем резюме нет информации о знаниях в области программирования и о среднем балле по диплому, просьба включать эту информацию в сопроводительное письмо.;"Готовы принять на работу начинающего специалиста с минимальным опытом. Законченное высшее образование не ниже уровня &quot;специалист&quot; (техническое, профильное). ";Сопровождение внедренных решений. Разработка дополнительных модулей. Участие в проектах по внедрению новых решений с участием внешних Подрядчиков. Тестирование решений. Документирование. ;
14;Программист-разработчик;Екатеринбург;70000.0;;Опытно-конструкторское бюро УЗГА;2019-11-20T11:41:52+0300;1;3;Полный день;Полная занятость;"Обязанности:  Изучение существующего ПНК (пилотажно-навигационного комплекса), симуляторы полёта FlightGear, X-Plane Написание дополнений к симуляторам, управляющих бортом С++ Написание различных симуляторов и имитаторов протоколов Написание приложений C++, QT, QML, 3D Работа в команде Моделировщик (математик), Программист встраиваемых систем  Требования:  Опыт программирования на C/C++ Опыт работы с стеками TCP/IP, RS Опыт реализации протоколов информационного обмена по спецификации Опыт разработки систем автоматического управления (ПИД регуляторы, решение уравнений) Опыт программирование под микроконтроллеры и/или QNX, RTOS (желательно)  Условия:  Заработная плата: официальная, обсуждается индивидуально с кандидатом (в зависимости от квалификации, опыта работы) Трудовые отношения в полном соответствии с ТК РФ; Время работы: с 9 до 18 Обучение за счёт предприятия Место работы: г. Екатеринбург, ул. 8 марта ";"  Заработная плата: официальная, обсуждается индивидуально с кандидатом (в зависимости от квалификации, опыта работы) Трудовые отношения в полном соответствии с ТК РФ; Время работы: с 9 до 18 Обучение за счёт предприятия Место работы: г. Екатеринбург, ул. 8 марта ";Опыт программирования на C/C++. Опыт работы с стеками TCP/IP, RS. Опыт реализации протоколов информационного обмена по спецификации. ;Написание различных симуляторов и имитаторов протоколов. Написание приложений C++, QT, QML, 3D. Работа в команде Моделировщик (математик), <highlighttext>Программист</highlighttext> встраиваемых...;"C/C++; Разработка ПО; Qt; 3D; QML"
66;Программист-разработчик;Москва;;;ФГАУ Российский фонд технологического развития;2019-11-20T12:05:28+0300;3;6;Полный день;Полная занятость;Вакансия открыта в рамках проекта по интеграции людей с инвалидностью в общественную жизнь и в целях соблюдения требований ст.21 Федерального закона О социальной защите инвалидов Мы разрабатываем информационные системы, которыми пользуются промышленные предприятия по всей стране. Наша задача – доказать, что получение государственных услуг может быть максимально удобным и простым. Наш текущий стек:  Backend: .NET 4.7.x/.NET, ASP.NET MVC Frontend: Angular, JavaScript/TypeScript, Html, CSS Хранение данных: MS SQL Среда разработки: MS Visual Studio Cистема контроля исходного кода: Team Foundation Server  Тебе предстоит:  Проектировать и разрабатывать IT-системы Писать понятный и стабильно работающий код Работать в небольшой команде, активно взаимодействовать с аналитиками, разработчиками и тестировщиками Постоянно развиваться  Мы ждем от тебя:  Уверенное знание языка C# и .NET Framework Понимание принципов ООП, знание паттернов проектирования Общее представление о TDD, DDD Опыт разработки web-приложений с применением стека ASP.NET Знание SQL (написание и оптимизация запросов, хранимых процедур) Желание вникать в бизнес-логику, понимать задачи и проблемы пользователей  От нас:  Премии по итогам работы ДМС Компенсация курсов английского языка на территории офиса Софинансирование обучения (оплата конференций, курсов) Компенсация 50% на спорт ;;Уверенное знание языка C# и .NET Framework. Понимание принципов ООП, знание паттернов проектирования. Общее представление о TDD, DDD. ;Проектировать и разрабатывать IT-системы. Писать понятный и стабильно работающий код. Работать в небольшой команде, активно взаимодействовать с аналитиками, <highlighttext>разработчиками</highlighttext>...;"C#; JavaScript; HTML; .NET Framework; ASP.NET; CSS; Transact-SQL; AngularJS; MS SQL; Bootstrap; TDD; DDD"
25;Программист-разработчик;Екатеринбург;;;РУ-ОПТ;2019-11-18T12:38:01+0300;1;3;Полный день;Полная занятость;"Компания RUOPT– мы IT- площадка интернет-торговли в формате В2В, миссия которой — облегчить жизнь любому бизнесу. Поставщикам даем все инструменты для продвижения, приводим клиентов, формируем подробную и понятную статистику. Покупателям помогаем выбирать лучшие предложение. Мы не только используем типовые решения, мы так же придумываем и внедряем новые. Для нас главное — желание быстро и качественно решать задачи и улучшать продукт и любить то, что делаешь. Задачи:  принять участие в доработке архитектуры платформы и приложений для нее; написание автотестов, исправление багов, участие в ревью кода; взаимодействие с разработчиками, дизайнерами и другими командами.  От тебя ожидаем:  знание PHP на уровне Middle (опыт работы от 3 лет); работа с CMS CS-Cart. Необходимы хотя бы начальные знания. Понимание структуры и принципов работы; опыт работы с шаблонизатором Smarty; знание MySQL, умение строить сложные запросы, отлаживать их и находить наиболее быстрые решения; опыт совместной работы с другими разработчиками в рамках одного проекта, с использованием Git; умение верстать простые страницы; знания работы и настройки Nginx + PHP-fpm; умение разбираться в чужом коде, писать свой код чистым, не изобретать велосипед, тестировать код, вносить изменения напрямую в работающую систему.  Что мы предлагаем:  возможность поучаствовать в создании собственного продукта; мы работаем в офисе в центре города (ул. Малышева); тёплая атмосфера в команде — мы заботимся друг о друге, поэтому ты будешь чувствовать себя максимально комфортно; обеспечим необходимыми ресурсами, чтобы вы смогли быстро адаптироваться и выработать свой уникальный подход; каждый из нас увлечен работой, но мы умеем хорошо отдыхать: отмечаем дни рождения коллег и другие праздники. ";;Опыт совместной работы с другими <highlighttext>разработчиками</highlighttext> в рамках одного проекта, с использованием Git. Умение верстать простые страницы. Знания работы и...;...платформы и приложений для нее. Написание автотестов, исправление багов, участие в ревью кода. Взаимодействие с <highlighttext>разработчиками</highlighttext>, дизайнерами и другими командами.;"Git; MySQL; Аналитическое мышление; Статистика; Adobe CS"
67;Программист-разработчик;Екатеринбург;;;УДПО Международный институт технических инноваций;2019-11-15T08:57:46+0300;3;6;Удаленная работа;Частичная занятость;«Международный институт технических инноваций» (УДПО МИТИ ) создан в 2005 году и на сегодняшний день является одним из лидеров по предоставлению обучающих программ для промышленных предприятий России и ближнего зарубежья. Наши слушатели - инженерно-технический персонал, рабочие специалисты промышленных предприятий: машиностроительных, горнообогатительных, металлургических, и т.д. (с подробной информацией о работе УДПО МИТИ вы можете ознакомиться на сайте iiti.ru). Обязанности: У нас есть самописная CMS на PHP. Помимо самоорганизованности и ответственности от вас требуется:  Разработка нового и поддержание текущего функционала сайта Интеграции с различными сервисами Правка верстки шаблонов Участие в проектировании прототипов и интерфейсов Контроль качества реализованных решений Оценка объемов и сроков поставленных задач  Требования:  Высокий уровень ответственности Уверенное знание PHP, HTML, CSS, JS, MySQL Опыт адаптивой и кроссбраузерной верстки Умение работать с чужим кодом Уверенное владение git или аналогами Быть на связи каждый день  Условия:  Удаленная работа - не нужно быть привязанным к месту Гибкий график - не нужно отрабатывать 40 часов в неделю. Надо выполнять поставленные задачи. Именно за них вы будете получать зарплату. Уровень вознаграждения складывается от объема и сложности выполненных задач ;  Удаленная работа - не нужно быть привязанным к месту Гибкий график - не нужно отрабатывать 40 часов в неделю. Надо выполнять поставленные задачи. Именно за них вы будете получать зарплату. Уровень вознаграждения складывается от объема и сложности выполненных задач ;Высокий уровень ответственности. Уверенное знание PHP, HTML, CSS, JS, MySQL. Опыт адаптивой и кроссбраузерной верстки. Умение работать с чужим кодом. ;Разработка нового и поддержание текущего функционала сайта. Интеграции с различными сервисами. Правка верстки шаблонов. Участие в проектировании прототипов и интерфейсов. ;
80;Программист-разработчик;Екатеринбург;;;Круст;2019-11-20T17:22:17+0300;1;3;Полный день;Полная занятость;"ООО КРУСТ - федеральная компания, занимающая лидирующие позиции в области разработки и производства технических средств в России с 2001 года. Производим продукцию на собственном производстве, а также закупаем некоторые товары за рубежом и являемся эксклюзивными дистрибьюторами на территории РФ. Выполняем комплексные поставки оборудования для лиц ОВЗ в государственные учреждения, которые подчиняются министерствам (спорта, культуры, здравоохранения, образования, социальной политики и т.д.). А также поставляем оборудование на территории РФ по программам: Доступная среда и Инклюзивное образование. Работаем с юридическими лицами, которые занимаются строительством и оборудованием зданий общественного значения (ТЦ, БЦ и т.п). подробнее: dostupsreda.ru С 2001 года у нас наработана большая база постоянных клиентов и стабильно появляются новые! В связи с этим компания «Круст» постоянно развивается и растет! Приглашает на работу РазработчикаУважаемые кандидаты, рассмотрение соискателей по данной вакансии происходит только по предварительным резюме! Условия:  Работа в стабильной производственной компании; Официальное трудоустройство в соответствии с ТК РФ; Оплата больничных, отпускных по ТК РФ; Стабильные выплаты 2 раза/мес. на карту без задержек, заработная плата полностью «белая». Уровень заработной платы обсуждается с каждым кандидатом индивидуально (в зависимости от уровня подготовки и опыта); График работы с понедельника по пятницу, с 09:30 до 18:30; Офис - ул. Луначарского, 221.  Обязанности: Разработка алгоритмов и ПО для встраиваемых систем на базе Arduino, stm8, stm32. Разработка и сопровождение приложений на OS Android и OS Windows. Изучение Datasheet электронных компонентов. Поддержка устройств и баг фиксинг. Требования: Высшее образование. Опыт работы в данной должности от 1 года. Уверенное знание OS Android, OS Windows, C, C++. мотрение соискателей по данной вакансии происходит только по предварительным резюме!";"  Работа в стабильной производственной компании; Официальное трудоустройство в соответствии с ТК РФ; Оплата больничных, отпускных по ТК РФ; Стабильные выплаты 2 раза/мес. на карту без задержек, заработная плата полностью «белая». Уровень заработной платы обсуждается с каждым кандидатом индивидуально (в зависимости от уровня подготовки и опыта); График работы с понедельника по пятницу, с 09:30 до 18:30; Офис - ул. Луначарского, 221.  Обязанности: Разработка алгоритмов и ПО для встраиваемых систем на базе Arduino, stm8, stm32. Разработка и сопровождение приложений на OS Android и OS Windows. Изучение Datasheet электронных компонентов. Поддержка устройств и баг фиксинг. Требования: Высшее образование. Опыт работы в данной должности от 1 года. Уверенное знание OS Android, OS Windows, C, C++. мотрение соискателей по данной вакансии происходит только по предварительным резюме!";А также поставляем оборудование на территории РФ по программам: Доступная среда и Инклюзивное образование. Работаем с юридическими лицами, которые занимаются...;Производим продукцию на собственном производстве, а также закупаем некоторые товары за рубежом и являемся эксклюзивными дистрибьюторами на территории РФ. ;"C++; Android; 1С программирование"
28;Программист-разработчик;Новосибирск;;;640kB limited;2019-11-19T12:23:40+0300;3;6;Полный день;Полная занятость;Компания ION.team в связи с увеличением пула проектов расширяет команду в Томске и Новосибирске.Возможна работа в офисе или на удаленке. Также рассматриваем кандидатов на удаленку.Проекты: web, mobile, телеком.Требования к коду: качественный и разумно документированный код, покрытие тестами. В отклике указывайте зарплатные ожидания. Ищем специалистов: - nodejs разработчик с опытом в voip- nodejs разработчик с опытом создания API- программист с опытом работы с SMS шлюзами или в телекоме- nodejs разработчик широкого профиля- frontend разработчик на react- IOS разработчик- Qt разработчик- C/C++ разрабочик с опытом разработки низкоуровневого ПО для сетей- python разработчик- специалист по криптографии/сетевой безопасности- frontend разработчик на vue  ;;nodejs <highlighttext>разработчик</highlighttext> с опытом в voip. - nodejs <highlighttext>разработчик</highlighttext> с опытом создания API. - <highlighttext>программист</highlighttext> с опытом работы с SMS шлюзами или...;Компания ION.team в связи с увеличением пула проектов расширяет команду в Томске и Новосибирске. - frontend <highlighttext>разработчик</highlighttext> на react.;"Qt; Python; Node.js; Git; JavaScript; C/C++; VoIP; API; react; vue; network security; iOS"
