;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
91;PHP-программист;Москва;;200000.0;Николь;2019-11-20T18:07:12+0300;1;3;Полный день;Полная занятость;"Мы - крупная и активно развивающаяся Компания, входящая в ТОП 5 России в сегменте товаров для домашних любимцев. Уже более 10-ти лет мы предлагаем нашим клиентам широчайший ассортимент высококачественных товаров: корма, средства по уходу, аксессуары и многое другое. В связи с активным развитием интернет-продаж мы ищем в свою команду WEB-программиста Честность и профессионализм - основные приоритеты нашей Компании. Что надо будет делать:  Написание нового функционала согласно текущим планам разработки; Рефакторинг существующего кода / оптимизация работы; Выполнения задач от TeamLeader.  Требования к кандидату:  Опыт работы в команде; Знание VCS и уметь работать; Хорошие знания php (мы используем php 7.0); Хорошие знание MySQL (мы используем MySQL 5.6); Хорошие знания в области Frontend; Обязательно понимание принципов ООП, паттернов проектирования и умение их применять.  Плюсом будут:  Опыт разработки на php 7+; Владение Linux, bash; Высокая скорость мышления; Умение эффективно находить информацию для решения рабочих задач; Умение разбирать legacy код; Навыки эффективного использования рабочих ресурсов.  Условия:  график работы пятидневка с 10.00 до 19.00 в офисе. оформление по ТК РФ; оплачиваемый ежегодный отпуск, оплата больничного листа; возможность карьерного роста; уютный, просторный офис рядом с метро Рязанский проспект; большая кухня (итальянский натуральный кофе, элитные сорта чая); живой уголок с экзотическими животными (василиск шлемоносный, шиншилла). ";"  график работы пятидневка с 10.00 до 19.00 в офисе. оформление по ТК РФ; оплачиваемый ежегодный отпуск, оплата больничного листа; возможность карьерного роста; уютный, просторный офис рядом с метро Рязанский проспект; большая кухня (итальянский натуральный кофе, элитные сорта чая); живой уголок с экзотическими животными (василиск шлемоносный, шиншилла). ";Опыт работы в команде. Знание VCS и уметь работать. Хорошие знания php (мы используем php 7.0). Хорошие знание MySQL...;Написание нового функционала согласно текущим планам разработки. Рефакторинг существующего кода / оптимизация работы. Выполнения задач от TeamLeader.;"MySQL; PHP; 1С-Битрикс; Linux; Bash; ООП"
1;PHP-программист;Новосибирск;60000.0;;Светодиоды России;2019-11-20T11:55:39+0300;1;3;Полный день;Полная занятость;"Кто Мы?Мы группа компаний Опт Холдинг. Мы занимаемся разработкой рекламных видео систем, электронной очередью и веб интеграциями. И сейчас нашей команде необходим PHP-программист. Что будет входить в задачи?  Поддерживать несколько проектов компании; Вносить правки в существующий код и разрабатывать новые модули; Общаться с молодым дружным коллективом.  Что мы ждём от кандидата?  Уверенное знание основ PHP; Владение JS, HTML, CSS на уровне Backend разработчика; Знание SQL (индексы, джоины и пр.); Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.); Опыт работы с CMS Wordpress или других; Желание и готовность целенаправленно и упорно развиваться в веб-разработке.  Будет плюсом:  Знание фреймворков Yii и другие; Опыт работы с системами контроля версиями (git).  Что мы предлагаем?  Офис в центре Новосибирска (ул. Ядринцевская); Комфортный график (начало рабочего дня с 10:00); Молодой, дружный коллектив; Комфортное рабочее место и персональный ноутбук; Постоянное обучение за счет компании; Официальное трудоустройство; Испытательный срок 2 месяца; Оклад от 60 т.р. + Премия; Рост дохода по результатам работы.  Если Вас заинтересовала наша вакансия, мы ждём Ваше резюме!";;Уверенное знание основ PHP. Владение JS, HTML, CSS на уровне Backend <highlighttext>разработчика</highlighttext>. Знание SQL (индексы, джоины и пр.). ;Поддерживать несколько проектов компании. Вносить правки в существующий код и разрабатывать новые модули. Общаться с молодым дружным коллективом.;"Git; CSS; JavaScript; PHP5; ООП"
59;PHP-программист;Москва;100000.0;;Инфорос;2019-11-20T16:06:01+0300;1;3;Полный день;Полная занятость;"Требуемый опыт работы: от 2 лет Полная занятость, полный день Инфорос - центральное российское информационное агентство. Мы работаем в области рекламы и PR, политического и предпринимательского консалтинга, администрирования крупных государственных и международных информационных проектов. Среди наших проектов – форум ШОС, БРИКС, организация форумов для правительства Москвы и области, а так же проведение развлекательных мероприятий. В арсенале нашего агентства свыше 300 информационных сайтов. Нам в команду требуется: PHP программист, который выполнял бы следующие функции:  Разработка и модернизация информационных и новостных сайтов проектов агентства Разработка web-приложений и систем администрирования для сайтов Верстка шаблонов  Для выполнения вышеизложенных задач кандидат должен знать (уметь):  PHP (5.6 и выше) + MySQL – понимать разницу версий php, смог бы переделывать код c php 5.6 на 7 Обладать знаниями валидной кроссбраузерной адаптивной блочной верстки (знание HTML5 + CSS3 + JavaScript, jQuery, VueJS) Знание bitrix, yii2, Laravel - будет плюсом, но не обязательно Понимание основ работы ОС Unix  Условия:  полный рабочий день, возможен гибкий график зарплата по результатам собеседования Испытательный срок – 3 месяца  Место работы: Москва, м. Академическая, м. Профсоюзная; Кржижановского, 5 минут от метро Академическая/ Профсоюзная  ";"  полный рабочий день, возможен гибкий график зарплата по результатам собеседования Испытательный срок – 3 месяца  Место работы: Москва, м. Академическая, м. Профсоюзная; Кржижановского, 5 минут от метро Академическая/ Профсоюзная  ";PHP (5.6 и выше) + MySQL – понимать разницу версий php, смог бы переделывать код c php 5.6 на...;Разработка и модернизация информационных и новостных сайтов проектов агентства. Разработка web-приложений и систем администрирования для сайтов. Верстка шаблонов.;"jQuery; JavaScript; MySQL; PHP5; CSS3; PHP; Кроссбраузерная верстка; HTML; Ajax"
94;PHP-программист;Москва;100000.0;;SaveTime;2019-11-20T11:58:04+0300;1;3;Полный день;Полная занятость;SaveTime – это гипермаркет в вашем смартфоне. Мы собрали около 50 000 товаров из ваших любимых магазинов в одном приложении.   Что предстоит делать  Разработка web-приложения под высокую нагрузку Оптимизировать web-приложения, искать узкие места Активное участие во всём процессе разработки Работа с PHP, MySQL Проектирование архитектуры, планирование, разработка, поддержка и выпуск нового функционала для наших внутренних проектов.    Требования  Знать сильные и слабые стороны PHP Проектирование базы данных (MySQL) Умение профилировать скрипты Умение находить узкие места Понимание стратегии оптимизации Вовремя реагировать на проблемы Уметь слышать других Опыт работы с nginx Опыт работы с Symfony приветствуется    Что мы предлагаем  Хорошую белую зарплату Современная техника для работы Оплата посещения профильных конференций Покупка любой профильной литературы Удобная мебель для работы Корпоративные мероприятия Сладости к чаю Премия за хорошую работу ;;Знать сильные и слабые стороны PHP. Проектирование базы данных (MySQL). Умение профилировать скрипты. Умение находить узкие места. Понимание стратегии оптимизации. ;Разработка web-приложения под высокую нагрузку. Оптимизировать web-приложения, искать узкие места. Активное участие во всём процессе разработки. ;"PHP; MySQL; Git; Nginx; Sphinx"
18;PHP-программист;Новосибирск;100000.0;;ИОМ Анкетолог;2019-11-20T08:15:21+0300;1;3;Полный день;Полная занятость;"Anketolog.ru - российский проект, предоставляющий услуги для сферы В2В2C по проведению социологических и маркетинговых исследований. Компания основана в 2010 году.Мы ищем ответственного разработчика на PHP, который способен быстро подключиться к работе над проектом. Необходимые навыки и знания:  Хорошие знания PHP 5+; Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.); Понимание принципов MVC; Знание HTML, CSS и Javascript; Знание SQL (индексы, джоины и пр.).  Будет плюсом:  Знание фреймворков Yii, Symfony; Опыт работы с mongodb, sphinx, elasticsearch; Опыт работы с Javascript библиотеками: backbonejs, marionettejs, react; Опыт работы с системами правления версиями (git).  Условия:  работа в IT-проекте;   молодой коллектив;   возможность карьерного роста; офис в центре города; достойная и своевременная заработная плата с возможностью роста;   официальное трудоустройство; размер заработной платы обсуждается на собеседовании. ";"  работа в IT-проекте;   молодой коллектив;   возможность карьерного роста; офис в центре города; достойная и своевременная заработная плата с возможностью роста;   официальное трудоустройство; размер заработной платы обсуждается на собеседовании. ";Хорошие знания PHP 5+. Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.). Понимание принципов MVC. Знание HTML, CSS...;Работа в IT-проекте.;"Yii; PHP; PHP7; CSS3; JavaScript; jQuery; marionettejs; reactjs; Backbone"
99;PHP-программист;Новосибирск;;;Резольвента;2019-11-18T15:52:15+0300;1;3;Гибкий график;Полная занятость;В маленькую, но крутую команду веб разработчиков, ищутся такие же крутые специалисты, а также желающие таковыми стать. У нас всего два требования к кандидатам:  Знание PHP Понимание, и главное умение применять на практике принципы ООП и всем известные простые сокращения KISS, DRY, YAGNI.  А если в дополнение к этому ты умеешь писать тесты и любишь чистый код, то у нас почти на 100% случится взаимная любовь с первого взгляда. На чем мы пишем?  Бэкэнд: PHP 7+, Symfony и Laravel, Elastic (только когда он реально нужен) БД: MySQL Тесты: PHPUnit, Codeception Docker как среда разработки Фронт: Vue, Webpack, SCSS  Как мы пишем?  Проводим Code review Следуем лучшим практикам Любим чистый код - простой, понятный, лаконичный Пишем автотесты  Что мы пишем? Большие проекты, со сложной бизнес логикой и реальными пользователями. Что еще?  У нас нет HR, бюрократии, авралов и длинных коммуникаций. У нас есть директор-программист и команда сильных разработчиков. В первую очередь мы будем смотреть твой код, потом на все остальное. Про кофе, печеньки, гибкий график и офис в центре города даже не пишем... Это неинтересно и есть у всех. У нас тоже. ;;Знание PHP. Понимание, и главное умение применять на практике принципы ООП и всем известные простые сокращения KISS, DRY, YAGNI. ;Docker как среда разработки.;"MySQL; CSS3; Ajax; PHP; HTML; ООП; CSS; JavaScript; Git; HTML5"
